Testtype,Gjetetid,Suksessrate,Oppsamlingstid,Drivetid
cooperative_flock,24.49,100.0,0.39,24.14
cooperative_flock,23.9,100.0,0.2,23.7
cooperative_flock,23.67,100.0,0.17,23.5
cooperative_flock,24.08,100.0,0.18,23.9
cooperative_flock,24.08,100.0,0.18,23.9
cooperative_flock,24.3,100.0,0.2,24.1
cooperative_flock,24.0,100.0,0.2,23.8
cooperative_flock,23.4,100.0,0.18,23.21
cooperative_flock,24.58,100.0,0.18,24.4
cooperative_flock,24.1,100.0,0.2,23.9
cooperative_flock,23.9,100.0,0.2,23.7
cooperative_flock,24.2,100.0,0.19,24.01
cooperative_flock,24.01,100.0,0.21,23.8
cooperative_flock,24.84,100.0,0.43,24.4
cooperative_flock,24.12,100.0,0.23,23.89
cooperative_flock,24.5,100.0,0.19,24.31
cooperative_flock,23.91,100.0,0.21,23.7
cooperative_flock,25.2,100.0,0.2,25.0
cooperative_flock,24.6,100.0,0.19,24.42
cooperative_flock,23.99,100.0,0.19,23.81
cooperative_flock,23.7,100.0,0.22,23.53
cooperative_flock,24.2,100.0,0.21,24.0
cooperative_flock,24.2,100.0,0.2,24.01
cooperative_flock,23.81,100.0,0.21,23.6
cooperative_flock,24.58,100.0,0.18,24.4
cooperative_flock,23.9,100.0,0.2,23.71
cooperative_flock,24.7,100.0,0.19,24.51
cooperative_flock,23.3,100.0,0.19,23.11
cooperative_flock,23.7,100.0,0.19,23.51
cooperative_flock,25.08,100.0,0.18,24.9
cooperative_flock,24.6,100.0,0.19,24.41
cooperative_flock,24.1,100.0,0.21,23.9
cooperative_flock,23.4,100.0,0.2,23.2
cooperative_flock,24.22,100.0,0.23,24.0
cooperative_flock,23.99,100.0,0.19,23.8
cooperative_flock,23.97,100.0,0.18,23.79
cooperative_flock,24.91,100.0,0.21,24.7
cooperative_flock,24.5,100.0,0.2,24.31
cooperative_flock,24.9,100.0,0.2,24.7
cooperative_flock,24.0,100.0,0.2,23.8
cooperative_flock,23.6,100.0,0.2,23.44
cooperative_flock,24.77,100.0,0.18,24.59
cooperative_flock,23.6,100.0,0.2,23.41
cooperative_flock,24.2,100.0,0.19,24.01
cooperative_flock,24.3,100.0,0.19,24.11
cooperative_flock,24.85,100.0,0.25,24.6
cooperative_flock,23.9,100.0,0.19,23.71
cooperative_flock,24.6,100.0,0.2,24.4
cooperative_flock,24.3,100.0,0.2,24.11
cooperative_flock,24.0,100.0,0.19,23.81
cooperative_flock,23.9,100.0,0.19,23.71
cooperative_flock,24.4,100.0,0.19,24.21
cooperative_flock,24.0,100.0,0.2,23.8
cooperative_flock,24.27,100.0,0.17,24.1
cooperative_flock,24.89,100.0,0.19,24.7
cooperative_flock,24.5,100.0,0.2,24.31
cooperative_flock,24.4,100.0,0.19,24.21
cooperative_flock,25.02,100.0,0.23,24.79
cooperative_flock,24.5,100.0,0.2,24.31
cooperative_flock,23.8,100.0,0.2,23.6
cooperative_flock,24.3,100.0,0.19,24.15
cooperative_flock,23.91,100.0,0.2,23.7
cooperative_flock,24.3,100.0,0.19,24.11
cooperative_flock,24.6,100.0,0.2,24.4
cooperative_flock,24.0,100.0,0.2,23.81
cooperative_flock,24.3,100.0,0.2,24.1
cooperative_flock,24.18,100.0,0.18,24.0
cooperative_flock,24.4,100.0,0.19,24.21
cooperative_flock,24.4,100.0,0.2,24.2
cooperative_flock,24.1,100.0,0.2,23.91
cooperative_flock,23.9,100.0,0.2,23.7
cooperative_flock,24.61,100.0,0.21,24.4
cooperative_flock,24.1,100.0,0.2,23.91
cooperative_flock,23.9,100.0,0.19,23.71
cooperative_flock,23.8,100.0,0.2,23.6
cooperative_flock,24.49,100.0,0.19,24.3
cooperative_flock,23.7,100.0,0.2,23.5
cooperative_flock,24.6,100.0,0.19,24.41
cooperative_flock,24.21,100.0,0.22,23.99
cooperative_flock,24.17,100.0,0.18,23.99
cooperative_flock,23.9,100.0,0.19,23.74
cooperative_flock,23.88,100.0,0.18,23.7
cooperative_flock,24.71,100.0,0.21,24.5
cooperative_flock,23.8,100.0,0.19,23.61
cooperative_flock,24.1,100.0,0.19,23.91
cooperative_flock,24.2,100.0,0.2,24.0
cooperative_flock,24.4,100.0,0.19,24.21
cooperative_flock,24.6,100.0,0.19,24.41
cooperative_flock,24.5,100.0,0.19,24.31
cooperative_flock,23.78,100.0,0.18,23.6
cooperative_flock,24.1,100.0,0.2,23.91
cooperative_flock,23.9,100.0,0.19,23.71
cooperative_flock,23.81,100.0,0.31,23.5
cooperative_flock,24.59,100.0,0.19,24.4
cooperative_flock,23.9,100.0,0.19,23.71
cooperative_flock,24.5,100.0,0.19,24.31
cooperative_flock,24.1,100.0,0.19,23.91
cooperative_flock,24.3,100.0,0.2,24.1
cooperative_flock,24.3,100.0,0.19,24.11
cooperative_flock,23.89,100.0,0.19,23.7
divided_flock,70.1,0.0,0.0,70.1
divided_flock,70.1,0.0,0.0,70.1
divided_flock,70.08,0.0,0.0,70.08
divided_flock,70.0,0.0,0.0,70.0
divided_flock,70.1,0.0,0.0,70.1
divided_flock,70.0,0.0,0.0,70.0
divided_flock,70.01,0.0,0.0,70.01
divided_flock,70.1,0.0,0.0,70.1
divided_flock,70.1,0.0,0.0,70.1
divided_flock,70.1,0.0,0.0,70.1
divided_flock,70.07,0.0,0.0,70.07
divided_flock,70.08,0.0,0.0,70.08
divided_flock,70.05,0.0,0.0,70.05
divided_flock,70.1,0.0,0.0,70.1
divided_flock,70.08,0.0,0.0,70.08
divided_flock,70.07,0.0,0.0,70.07
divided_flock,70.0,0.0,0.0,70.0
divided_flock,70.1,0.0,0.0,70.1
divided_flock,70.1,0.0,0.0,70.1
divided_flock,70.1,0.0,0.0,70.1
divided_flock,70.0,0.0,0.0,70.0
divided_flock,70.1,0.0,0.0,70.1
divided_flock,70.1,0.0,0.0,70.1
divided_flock,70.09,0.0,0.0,70.09
divided_flock,70.1,0.0,0.0,70.1
divided_flock,70.03,0.0,0.0,70.03
divided_flock,70.09,0.0,0.0,70.1
divided_flock,70.1,0.0,0.0,70.1
divided_flock,70.1,0.0,0.0,70.1
divided_flock,70.1,0.0,0.0,70.1
divided_flock,70.04,0.0,0.0,70.04
divided_flock,70.0,0.0,0.0,70.0
divided_flock,70.1,0.0,0.0,70.1
divided_flock,70.01,0.0,0.0,70.01
divided_flock,70.08,0.0,0.0,70.08
divided_flock,70.1,0.0,0.0,70.1
divided_flock,70.0,0.0,0.0,70.0
divided_flock,70.1,0.0,0.0,70.1
divided_flock,70.1,0.0,0.0,70.1
divided_flock,70.03,0.0,0.0,70.03
divided_flock,70.08,0.0,0.0,70.08
divided_flock,70.1,0.0,0.0,70.1
divided_flock,70.1,0.0,0.0,70.1
divided_flock,70.04,0.0,0.0,70.04
divided_flock,70.1,0.0,0.0,70.1
divided_flock,70.1,0.0,0.0,70.1
divided_flock,70.1,0.0,0.0,70.1
divided_flock,70.03,0.0,0.0,70.03
divided_flock,70.1,0.0,0.0,70.1
divided_flock,70.08,0.0,0.0,70.08
divided_flock,70.1,0.0,0.0,70.1
divided_flock,70.0,0.0,0.0,70.0
divided_flock,70.1,0.0,0.0,70.1
divided_flock,70.1,0.0,0.0,70.1
divided_flock,70.0,0.0,0.0,70.0
divided_flock,70.1,0.0,0.0,70.1
divided_flock,70.1,0.0,0.0,70.1
divided_flock,70.1,0.0,0.0,70.1
divided_flock,70.1,0.0,0.0,70.1
divided_flock,70.0,0.0,0.0,70.0
divided_flock,70.1,0.0,0.0,70.1
divided_flock,70.08,0.0,0.0,70.08
divided_flock,70.03,0.0,0.0,70.03
divided_flock,70.1,0.0,0.0,70.1
divided_flock,70.1,0.0,0.0,70.1
divided_flock,70.1,0.0,0.0,70.1
divided_flock,70.1,0.0,0.0,70.1
divided_flock,70.1,0.0,0.0,70.1
divided_flock,70.08,0.0,0.0,70.08
divided_flock,70.01,0.0,0.0,70.01
divided_flock,70.08,0.0,0.0,70.08
divided_flock,70.1,0.0,0.0,70.1
divided_flock,70.1,0.0,0.0,70.1
divided_flock,70.1,0.0,0.0,70.1
divided_flock,70.1,0.0,0.0,70.1
divided_flock,70.1,0.0,0.0,70.1
divided_flock,70.1,0.0,0.0,70.1
divided_flock,70.08,0.0,0.0,70.08
divided_flock,70.07,0.0,0.0,70.07
divided_flock,70.08,0.0,0.0,70.08
divided_flock,70.08,0.0,0.0,70.08
divided_flock,70.1,0.0,0.0,70.1
divided_flock,70.0,0.0,0.0,70.0
divided_flock,70.1,0.0,0.0,70.1
divided_flock,70.1,0.0,0.0,70.1
divided_flock,70.02,0.0,0.0,70.03
divided_flock,70.0,0.0,0.0,70.01
divided_flock,70.1,0.0,0.0,70.1
divided_flock,70.07,0.0,0.0,70.08
divided_flock,70.1,0.0,0.0,70.1
divided_flock,70.1,0.0,0.0,70.1
divided_flock,70.08,0.0,0.0,70.08
divided_flock,70.09,0.0,0.0,70.09
divided_flock,70.02,0.0,0.0,70.02
divided_flock,70.1,0.0,0.0,70.1
divided_flock,70.09,0.0,0.0,70.09
divided_flock,70.07,0.0,0.0,70.07
divided_flock,70.1,0.0,0.0,70.1
divided_flock,70.1,0.0,0.0,70.1
divided_flock,70.08,0.0,0.0,70.08
lone_sheep,70.08,0.0,0.0,70.08
lone_sheep,70.08,0.0,0.0,70.08
lone_sheep,70.1,0.0,0.0,70.1
lone_sheep,70.1,0.0,0.0,70.1
lone_sheep,70.01,0.0,0.0,70.01
lone_sheep,70.08,0.0,0.0,70.08
lone_sheep,70.08,0.0,0.0,70.08
lone_sheep,70.1,0.0,0.0,70.1
lone_sheep,70.01,0.0,0.0,70.01
lone_sheep,70.1,0.0,0.0,70.1
lone_sheep,70.08,0.0,0.0,70.08
lone_sheep,70.1,0.0,0.0,70.1
lone_sheep,70.08,0.0,0.0,70.08
lone_sheep,70.09,0.0,0.0,70.09
lone_sheep,70.07,0.0,0.0,70.07
lone_sheep,70.09,0.0,0.0,70.09
lone_sheep,70.08,0.0,0.0,70.09
lone_sheep,70.08,0.0,0.0,70.08
lone_sheep,70.08,0.0,0.0,70.08
lone_sheep,70.1,0.0,0.0,70.1
lone_sheep,70.1,0.0,0.0,70.1
lone_sheep,70.08,0.0,0.0,70.09
lone_sheep,70.09,0.0,0.0,70.09
lone_sheep,70.06,0.0,0.0,70.06
lone_sheep,70.07,0.0,0.0,70.07
lone_sheep,70.1,0.0,0.0,70.1
lone_sheep,70.1,0.0,0.0,70.1
lone_sheep,70.0,0.0,0.0,70.0
lone_sheep,70.1,0.0,0.0,70.1
lone_sheep,70.07,0.0,0.0,70.07
lone_sheep,70.1,0.0,0.0,70.1
lone_sheep,70.1,0.0,0.0,70.1
lone_sheep,70.08,0.0,0.0,70.08
lone_sheep,70.08,0.0,0.0,70.08
lone_sheep,70.08,0.0,0.0,70.08
lone_sheep,70.08,0.0,0.0,70.08
lone_sheep,70.08,0.0,0.0,70.08
lone_sheep,70.08,0.0,0.0,70.08
lone_sheep,70.08,0.0,0.0,70.08
lone_sheep,70.1,0.0,0.0,70.1
lone_sheep,70.01,0.0,0.0,70.01
lone_sheep,70.1,0.0,0.0,70.1
lone_sheep,70.08,0.0,0.0,70.08
lone_sheep,70.08,0.0,0.0,70.08
