Testtype,Vinkel,Gjetetid,Suksessrate,Oppsamlingstid,Drivetid
cooperative_flock,10,15.65,100.0,0.45,15.24
cooperative_flock,10,15.43,100.0,0.23,15.2
cooperative_flock,10,15.31,100.0,0.21,15.1
cooperative_flock,10,15.5,100.0,0.19,15.31
cooperative_flock,10,15.39,100.0,0.19,15.2
cooperative_flock,10,15.27,100.0,0.18,15.09
cooperative_flock,10,15.51,100.0,0.21,15.3
cooperative_flock,10,15.5,100.0,0.19,15.31
cooperative_flock,10,15.41,100.0,0.21,15.2
cooperative_flock,10,15.38,100.0,0.18,15.2
cooperative_flock,10,15.47,100.0,0.18,15.29
cooperative_flock,10,15.38,100.0,0.19,15.2
cooperative_flock,10,15.48,100.0,0.18,15.3
cooperative_flock,10,15.37,100.0,0.17,15.2
cooperative_flock,10,15.46,100.0,0.18,15.29
cooperative_flock,10,15.28,100.0,0.18,15.1
cooperative_flock,10,15.18,100.0,0.18,15.0
cooperative_flock,10,15.08,100.0,0.18,14.9
cooperative_flock,10,15.48,100.0,0.19,15.29
cooperative_flock,10,15.3,100.0,0.2,15.1
cooperative_flock,10,15.38,100.0,0.17,15.21
cooperative_flock,10,15.38,100.0,0.18,15.2
cooperative_flock,10,15.32,100.0,0.22,15.1
cooperative_flock,10,15.38,100.0,0.18,15.2
cooperative_flock,10,15.38,100.0,0.18,15.2
cooperative_flock,10,15.1,100.0,0.19,14.91
cooperative_flock,10,15.31,100.0,0.21,15.1
cooperative_flock,10,15.44,100.0,0.23,15.2
cooperative_flock,10,15.32,100.0,0.22,15.1
cooperative_flock,10,15.4,100.0,0.18,15.21
cooperative_flock,10,15.49,100.0,0.19,15.3
cooperative_flock,10,15.45,100.0,0.25,15.2
cooperative_flock,10,15.44,100.0,0.24,15.2
cooperative_flock,10,15.55,100.0,0.25,15.3
cooperative_flock,10,15.49,100.0,0.18,15.3
cooperative_flock,10,15.4,100.0,0.2,15.2
cooperative_flock,10,15.5,100.0,0.2,15.3
cooperative_flock,10,15.6,100.0,0.19,15.41
cooperative_flock,10,15.43,100.0,0.23,15.2
cooperative_flock,10,15.2,100.0,0.2,15.0
cooperative_flock,10,15.31,100.0,0.21,15.1
cooperative_flock,10,15.4,100.0,0.2,15.21
cooperative_flock,10,15.38,100.0,0.18,15.2
cooperative_flock,10,15.3,100.0,0.19,15.11
cooperative_flock,10,15.57,100.0,0.19,15.38
cooperative_flock,10,15.18,100.0,0.18,14.99
cooperative_flock,10,15.5,100.0,0.19,15.31
cooperative_flock,10,15.38,100.0,0.18,15.2
cooperative_flock,10,15.4,100.0,0.19,15.21
cooperative_flock,10,15.5,100.0,0.19,15.31
cooperative_flock,10,15.4,100.0,0.2,15.2
cooperative_flock,10,15.37,100.0,0.19,15.19
cooperative_flock,10,15.6,100.0,0.3,15.31
cooperative_flock,10,15.5,100.0,0.2,15.3
cooperative_flock,10,15.4,100.0,0.2,15.2
cooperative_flock,10,15.21,100.0,0.22,15.0
cooperative_flock,10,15.4,100.0,0.19,15.21
cooperative_flock,10,15.4,100.0,0.19,15.21
cooperative_flock,10,15.5,100.0,0.2,15.3
cooperative_flock,10,15.51,100.0,0.21,15.3
cooperative_flock,10,15.5,100.0,0.2,15.34
cooperative_flock,10,15.4,100.0,0.2,15.2
cooperative_flock,10,15.6,100.0,0.2,15.4
cooperative_flock,10,15.5,100.0,0.2,15.3
cooperative_flock,10,15.4,100.0,0.2,15.2
cooperative_flock,10,15.5,100.0,0.2,15.3
cooperative_flock,10,15.49,100.0,0.19,15.3
cooperative_flock,10,15.3,100.0,0.2,15.1
cooperative_flock,10,15.5,100.0,0.19,15.31
cooperative_flock,10,15.5,100.0,0.2,15.31
cooperative_flock,10,15.49,100.0,0.19,15.3
cooperative_flock,10,15.3,100.0,0.19,15.11
cooperative_flock,10,15.32,100.0,0.22,15.1
cooperative_flock,10,15.4,100.0,0.19,15.2
cooperative_flock,10,15.4,100.0,0.19,15.21
cooperative_flock,10,15.4,100.0,0.2,15.2
cooperative_flock,10,15.38,100.0,0.18,15.2
cooperative_flock,10,15.5,100.0,0.2,15.3
cooperative_flock,10,15.41,100.0,0.21,15.2
cooperative_flock,10,15.38,100.0,0.18,15.2
cooperative_flock,10,15.49,100.0,0.19,15.3
cooperative_flock,10,15.1,100.0,0.19,14.91
cooperative_flock,10,15.4,100.0,0.2,15.2
cooperative_flock,10,15.2,100.0,0.2,15.0
cooperative_flock,10,15.49,100.0,0.19,15.3
cooperative_flock,10,15.38,100.0,0.18,15.2
cooperative_flock,10,15.1,100.0,0.19,14.91
cooperative_flock,10,15.3,100.0,0.2,15.1
cooperative_flock,10,15.39,100.0,0.18,15.21
cooperative_flock,10,15.4,100.0,0.2,15.2
cooperative_flock,10,15.2,100.0,0.19,15.01
cooperative_flock,10,15.3,100.0,0.19,15.11
cooperative_flock,10,15.5,100.0,0.21,15.29
cooperative_flock,10,15.3,100.0,0.19,15.11
cooperative_flock,10,15.4,100.0,0.2,15.21
cooperative_flock,10,15.3,100.0,0.21,15.09
cooperative_flock,10,15.53,100.0,0.23,15.3
cooperative_flock,10,15.4,100.0,0.2,15.2
cooperative_flock,10,15.2,100.0,0.2,15.0
cooperative_flock,10,15.6,100.0,0.19,15.42
cooperative_flock,15,15.29,100.0,0.18,15.11
cooperative_flock,15,15.55,100.0,0.25,15.3
cooperative_flock,15,15.52,100.0,0.23,15.29
cooperative_flock,15,15.3,100.0,0.19,15.11
cooperative_flock,15,15.6,100.0,0.19,15.41
cooperative_flock,15,15.3,100.0,0.19,15.11
cooperative_flock,15,15.49,100.0,0.19,15.3
cooperative_flock,15,15.42,100.0,0.22,15.2
cooperative_flock,15,15.18,100.0,0.18,15.0
cooperative_flock,15,15.58,100.0,0.28,15.3
cooperative_flock,15,15.3,100.0,0.19,15.11
cooperative_flock,15,15.5,100.0,0.19,15.31
cooperative_flock,15,15.4,100.0,0.19,15.21
cooperative_flock,15,15.35,100.0,0.25,15.1
cooperative_flock,15,15.4,100.0,0.19,15.21
cooperative_flock,15,15.3,100.0,0.21,15.1
cooperative_flock,15,15.39,100.0,0.19,15.2
cooperative_flock,15,15.49,100.0,0.19,15.3
cooperative_flock,15,15.4,100.0,0.19,15.21
cooperative_flock,15,15.2,100.0,0.19,15.01
cooperative_flock,15,15.4,100.0,0.19,15.21
cooperative_flock,15,15.4,100.0,0.2,15.2
cooperative_flock,15,15.25,100.0,0.26,14.99
cooperative_flock,15,15.4,100.0,0.19,15.21
cooperative_flock,15,15.5,100.0,0.2,15.3
cooperative_flock,15,15.4,100.0,0.2,15.2
cooperative_flock,15,15.3,100.0,0.2,15.1
cooperative_flock,15,15.4,100.0,0.2,15.21
cooperative_flock,15,15.5,100.0,0.19,15.31
cooperative_flock,15,15.41,100.0,0.22,15.2
cooperative_flock,15,15.27,100.0,0.19,15.09
cooperative_flock,15,15.5,100.0,0.2,15.3
