Testtype,Gjetetid,Suksessrate,Oppsamlingstid,Drivetid
cooperative_flock,16.22,100.0,0.37,15.92
cooperative_flock,15.51,100.0,0.28,15.23
cooperative_flock,15.53,100.0,0.38,15.16
cooperative_flock,15.45,100.0,0.42,15.03
cooperative_flock,15.65,100.0,0.4,15.26
cooperative_flock,15.7,100.0,0.45,15.26
cooperative_flock,15.72,100.0,0.46,15.26
cooperative_flock,15.5,100.0,0.32,15.18
cooperative_flock,15.55,100.0,0.31,15.24
cooperative_flock,15.51,100.0,0.3,15.21
cooperative_flock,15.38,100.0,0.41,14.98
cooperative_flock,15.51,100.0,0.44,15.07
cooperative_flock,15.76,100.0,0.51,15.25
cooperative_flock,15.67,100.0,0.41,15.26
cooperative_flock,15.74,100.0,0.36,15.38
cooperative_flock,15.63,100.0,0.42,15.22
cooperative_flock,15.37,100.0,0.33,15.04
cooperative_flock,15.55,100.0,0.36,15.19
cooperative_flock,15.65,100.0,0.4,15.26
cooperative_flock,15.54,100.0,0.3,15.24
cooperative_flock,16.41,100.0,0.47,15.99
cooperative_flock,15.57,100.0,0.34,15.24
cooperative_flock,15.62,100.0,0.43,15.19
cooperative_flock,15.59,100.0,0.35,15.24
cooperative_flock,15.74,100.0,0.48,15.26
cooperative_flock,15.43,100.0,0.34,15.09
cooperative_flock,15.73,100.0,0.43,15.3
cooperative_flock,15.58,100.0,0.31,15.28
cooperative_flock,15.81,100.0,0.5,15.32
cooperative_flock,15.59,100.0,0.31,15.28
cooperative_flock,15.55,100.0,0.56,14.99
cooperative_flock,15.74,100.0,0.56,15.18
cooperative_flock,15.66,100.0,0.34,15.32
cooperative_flock,15.6,100.0,0.34,15.26
cooperative_flock,15.56,100.0,0.48,15.08
cooperative_flock,15.67,100.0,0.49,15.18
cooperative_flock,15.67,100.0,0.36,15.31
cooperative_flock,15.5,100.0,0.42,15.08
cooperative_flock,15.64,100.0,0.43,15.21
cooperative_flock,15.71,100.0,0.37,15.34
cooperative_flock,16.11,100.0,0.48,15.7
cooperative_flock,15.46,100.0,0.47,15.0
cooperative_flock,15.25,100.0,0.31,14.95
cooperative_flock,15.65,100.0,0.48,15.18
cooperative_flock,15.63,100.0,0.33,15.3
cooperative_flock,15.68,100.0,0.44,15.24
cooperative_flock,15.65,100.0,0.35,15.3
cooperative_flock,15.78,100.0,0.45,15.33
cooperative_flock,15.57,100.0,0.33,15.24
cooperative_flock,15.54,100.0,0.32,15.22
cooperative_flock,15.56,100.0,0.34,15.23
cooperative_flock,15.59,100.0,0.33,15.26
cooperative_flock,15.59,100.0,0.37,15.22
cooperative_flock,15.73,100.0,0.4,15.33
cooperative_flock,15.59,100.0,0.42,15.17
cooperative_flock,15.78,100.0,0.55,15.23
cooperative_flock,15.64,100.0,0.41,15.24
cooperative_flock,15.39,100.0,0.27,15.13
cooperative_flock,15.65,100.0,0.54,15.12
cooperative_flock,15.63,100.0,0.33,15.3
cooperative_flock,16.36,100.0,0.46,16.0
cooperative_flock,15.6,100.0,0.48,15.12
cooperative_flock,15.55,100.0,0.41,15.14
cooperative_flock,15.6,100.0,0.39,15.21
cooperative_flock,15.6,100.0,0.33,15.28
cooperative_flock,15.62,100.0,0.43,15.2
cooperative_flock,15.67,100.0,0.42,15.25
cooperative_flock,15.65,100.0,0.37,15.28
cooperative_flock,15.61,100.0,0.34,15.27
cooperative_flock,15.7,100.0,0.43,15.27
cooperative_flock,15.64,100.0,0.44,15.21
cooperative_flock,15.4,100.0,0.24,15.16
cooperative_flock,15.72,100.0,0.46,15.27
cooperative_flock,15.64,100.0,0.36,15.28
cooperative_flock,15.42,100.0,0.41,15.01
cooperative_flock,15.72,100.0,0.39,15.33
cooperative_flock,15.6,100.0,0.38,15.22
cooperative_flock,15.62,100.0,0.42,15.2
cooperative_flock,15.48,100.0,0.39,15.09
cooperative_flock,15.58,100.0,0.36,15.23
cooperative_flock,16.07,100.0,0.44,15.71
cooperative_flock,15.58,100.0,0.34,15.25
cooperative_flock,15.46,100.0,0.4,15.07
cooperative_flock,15.21,100.0,0.33,14.89
cooperative_flock,15.5,100.0,0.34,15.16
cooperative_flock,15.77,100.0,0.46,15.31
cooperative_flock,15.36,100.0,0.37,14.99
cooperative_flock,15.56,100.0,0.44,15.12
cooperative_flock,15.7,100.0,0.35,15.35
cooperative_flock,15.41,100.0,0.33,15.09
cooperative_flock,15.51,100.0,0.35,15.16
cooperative_flock,15.52,100.0,0.45,15.07
cooperative_flock,15.61,100.0,0.44,15.16
cooperative_flock,15.6,100.0,0.45,15.15
cooperative_flock,15.73,100.0,0.43,15.3
cooperative_flock,15.48,100.0,0.44,15.03
cooperative_flock,15.31,100.0,0.33,15.0
cooperative_flock,15.64,100.0,0.32,15.32
cooperative_flock,15.54,100.0,0.35,15.19
cooperative_flock,15.48,100.0,0.4,15.09
divided_flock,20.55,100.0,6.43,14.12
divided_flock,23.83,100.0,8.01,15.81
divided_flock,29.09,100.0,7.19,21.9
divided_flock,20.09,100.0,6.84,13.24
divided_flock,21.53,100.0,6.81,14.72
divided_flock,20.73,100.0,6.92,13.81
divided_flock,23.08,100.0,5.61,17.48
divided_flock,20.38,100.0,6.1,14.28
divided_flock,22.72,100.0,6.21,16.51
divided_flock,25.33,100.0,6.63,18.7
divided_flock,20.22,100.0,6.32,13.9
divided_flock,20.55,100.0,6.24,14.32
divided_flock,26.16,100.0,6.2,19.96
divided_flock,19.92,100.0,5.76,14.16
divided_flock,20.89,100.0,6.67,14.22
divided_flock,20.68,100.0,6.89,13.79
divided_flock,26.17,100.0,7.24,18.93
divided_flock,24.46,100.0,6.67,17.79
divided_flock,20.8,100.0,7.67,13.13
divided_flock,25.21,100.0,5.9,19.31
divided_flock,28.8,100.0,8.05,20.75
divided_flock,36.57,100.0,6.94,29.63
divided_flock,25.55,100.0,6.81,18.74
divided_flock,24.66,100.0,7.14,17.52
divided_flock,19.54,100.0,6.11,13.43
divided_flock,21.98,100.0,6.37,15.61
divided_flock,22.98,100.0,7.47,15.51
divided_flock,19.54,100.0,6.97,12.57
divided_flock,19.14,100.0,6.59,12.55
divided_flock,20.2,100.0,6.06,14.14
divided_flock,21.15,100.0,5.82,15.33
divided_flock,24.82,100.0,7.24,17.58
divided_flock,20.39,100.0,6.34,14.05
divided_flock,26.51,100.0,6.76,19.75
divided_flock,19.41,100.0,5.96,13.45
divided_flock,24.9,100.0,5.81,19.09
divided_flock,19.98,100.0,6.31,13.67
divided_flock,19.62,100.0,6.83,12.79
divided_flock,20.77,100.0,6.12,14.65
divided_flock,22.63,100.0,6.61,16.02
divided_flock,20.78,100.0,6.56,14.22
divided_flock,20.0,100.0,6.72,13.29
divided_flock,19.05,100.0,6.21,12.84
divided_flock,19.72,100.0,6.47,13.25
divided_flock,21.54,100.0,7.71,13.84
divided_flock,19.62,100.0,5.91,13.71
divided_flock,22.41,100.0,7.23,15.18
divided_flock,19.89,100.0,5.85,14.04
divided_flock,22.08,100.0,6.38,15.71
divided_flock,20.97,100.0,6.11,14.86
divided_flock,22.84,100.0,6.91,15.93
divided_flock,24.99,100.0,7.81,17.18
divided_flock,20.9,100.0,6.43,14.47
divided_flock,21.47,100.0,6.19,15.28
divided_flock,20.91,100.0,6.13,14.79
divided_flock,20.16,100.0,6.78,13.39
divided_flock,23.81,100.0,7.51,16.3
divided_flock,20.3,100.0,6.13,14.17
divided_flock,24.0,100.0,6.3,17.7
divided_flock,20.39,100.0,5.78,14.61
divided_flock,19.36,100.0,5.92,13.45
divided_flock,23.45,100.0,6.83,16.62
divided_flock,26.49,100.0,7.08,19.42
divided_flock,24.74,100.0,6.21,18.53
divided_flock,23.22,100.0,6.58,16.64
divided_flock,20.88,100.0,8.71,12.17
divided_flock,24.23,100.0,7.13,17.11
divided_flock,19.37,100.0,6.29,13.08
divided_flock,21.99,100.0,5.82,16.17
divided_flock,22.64,100.0,6.73,15.91
divided_flock,24.54,100.0,6.01,18.53
divided_flock,22.54,100.0,7.75,14.79
divided_flock,19.48,100.0,5.93,13.57
divided_flock,20.18,100.0,6.05,14.12
divided_flock,23.98,100.0,6.55,17.44
divided_flock,22.19,100.0,7.44,14.76
divided_flock,22.29,100.0,7.74,14.55
divided_flock,19.88,100.0,6.63,13.26
divided_flock,19.85,100.0,5.93,13.93
divided_flock,21.06,100.0,8.37,12.7
divided_flock,19.85,100.0,6.16,13.76
divided_flock,23.22,100.0,6.54,16.68
divided_flock,21.51,100.0,7.08,14.43
divided_flock,26.19,100.0,6.25,19.94
divided_flock,20.88,100.0,8.07,12.8
divided_flock,25.43,100.0,6.46,18.98
divided_flock,25.81,100.0,6.61,19.21
divided_flock,20.13,100.0,7.04,13.09
divided_flock,21.1,100.0,6.4,14.71
divided_flock,23.64,100.0,5.87,17.77
divided_flock,23.36,100.0,6.86,16.51
divided_flock,19.23,100.0,5.79,13.44
divided_flock,21.27,100.0,6.33,14.94
divided_flock,19.61,100.0,6.68,12.93
divided_flock,33.35,100.0,6.08,27.28
divided_flock,28.77,100.0,6.65,22.13
divided_flock,24.9,100.0,6.45,18.45
divided_flock,23.16,100.0,5.97,17.19
divided_flock,22.89,100.0,5.95,16.94
divided_flock,25.34,100.0,6.58,18.76
lone_sheep,20.88,100.0,4.51,16.37
lone_sheep,20.84,100.0,4.14,16.7
lone_sheep,19.61,100.0,4.34,15.28
lone_sheep,19.49,100.0,4.47,15.02
lone_sheep,17.99,100.0,4.73,13.26
lone_sheep,20.05,100.0,4.43,15.62
lone_sheep,18.94,100.0,4.58,14.36
lone_sheep,18.3,100.0,4.57,13.74
lone_sheep,18.02,100.0,4.34,13.68
lone_sheep,18.83,100.0,4.57,14.27
lone_sheep,19.69,100.0,4.47,15.22
lone_sheep,18.19,100.0,4.48,13.71
lone_sheep,19.56,100.0,4.58,14.98
lone_sheep,18.69,100.0,4.8,13.89
lone_sheep,19.91,100.0,4.71,15.2
lone_sheep,19.64,100.0,4.26,15.39
lone_sheep,19.38,100.0,4.54,14.84
lone_sheep,18.02,100.0,4.06,13.96
lone_sheep,19.25,100.0,4.27,14.99
lone_sheep,19.74,100.0,4.36,15.39
lone_sheep,19.8,100.0,4.95,14.92
lone_sheep,18.13,100.0,4.39,13.75
lone_sheep,18.2,100.0,4.11,14.09
lone_sheep,19.58,100.0,4.35,15.23
lone_sheep,19.39,100.0,4.33,15.06
lone_sheep,18.69,100.0,4.56,14.14
lone_sheep,17.62,100.0,4.3,13.32
lone_sheep,18.27,100.0,4.6,13.68
lone_sheep,18.08,100.0,4.24,13.84
lone_sheep,18.9,100.0,4.29,14.61
lone_sheep,19.58,100.0,4.27,15.32
lone_sheep,19.37,100.0,4.48,14.89
lone_sheep,18.63,100.0,4.13,14.51
lone_sheep,22.15,100.0,4.21,17.95
lone_sheep,20.52,100.0,4.75,15.77
lone_sheep,19.19,100.0,4.46,14.74
lone_sheep,21.17,100.0,4.62,16.55
lone_sheep,20.71,100.0,4.24,16.47
lone_sheep,19.89,100.0,4.47,15.42
lone_sheep,18.65,100.0,4.24,14.41
lone_sheep,20.4,100.0,4.24,16.24
lone_sheep,17.85,100.0,4.11,13.75
lone_sheep,18.23,100.0,4.41,13.83
lone_sheep,20.25,100.0,4.98,15.28
lone_sheep,21.48,100.0,4.91,16.57
lone_sheep,18.01,100.0,4.22,13.8
lone_sheep,19.69,100.0,4.29,15.4
lone_sheep,20.44,100.0,4.32,16.12
lone_sheep,19.37,100.0,4.15,15.22
lone_sheep,19.3,100.0,4.49,14.81
lone_sheep,19.07,100.0,4.52,14.55
lone_sheep,18.44,100.0,5.08,13.36
lone_sheep,19.91,100.0,4.39,15.53
lone_sheep,19.5,100.0,4.66,14.85
lone_sheep,20.27,100.0,4.48,15.78
lone_sheep,19.95,100.0,4.31,15.64
lone_sheep,18.74,100.0,4.53,14.21
lone_sheep,18.55,100.0,4.43,14.13
lone_sheep,19.05,100.0,4.02,15.04
lone_sheep,20.53,100.0,5.0,15.54
lone_sheep,20.58,100.0,4.63,15.96
lone_sheep,19.38,100.0,4.56,14.82
lone_sheep,20.14,100.0,4.61,15.53
lone_sheep,17.92,100.0,4.16,13.75
lone_sheep,18.75,100.0,4.28,14.48
lone_sheep,20.11,100.0,4.29,15.82
lone_sheep,20.1,100.0,4.14,15.96
lone_sheep,20.03,100.0,4.61,15.42
lone_sheep,19.49,100.0,4.2,15.3
lone_sheep,19.92,100.0,4.53,15.39
lone_sheep,18.93,100.0,4.43,14.51
lone_sheep,19.48,100.0,4.52,14.97
lone_sheep,18.02,100.0,4.55,13.47
lone_sheep,18.49,100.0,4.59,13.9
lone_sheep,19.45,100.0,4.51,14.94
lone_sheep,19.48,100.0,4.36,15.13
lone_sheep,19.39,100.0,4.5,14.9
lone_sheep,19.72,100.0,4.55,15.17
lone_sheep,18.61,100.0,4.38,14.23
lone_sheep,20.55,100.0,4.58,15.97
lone_sheep,19.39,100.0,4.29,15.1
lone_sheep,20.53,100.0,4.55,15.98
lone_sheep,19.44,100.0,4.2,15.24
lone_sheep,18.56,100.0,3.96,14.6
lone_sheep,20.92,100.0,4.11,16.81
lone_sheep,19.76,100.0,4.39,15.37
lone_sheep,19.68,100.0,4.54,15.14
lone_sheep,19.66,100.0,4.51,15.15
lone_sheep,18.73,100.0,4.31,14.43
lone_sheep,18.02,100.0,4.55,13.47
lone_sheep,19.78,100.0,4.29,15.5
lone_sheep,20.07,100.0,4.08,15.99
lone_sheep,18.22,100.0,4.22,14.0
lone_sheep,20.0,100.0,4.43,15.57
lone_sheep,18.24,100.0,4.82,13.43
lone_sheep,20.56,100.0,4.35,16.21
lone_sheep,19.36,100.0,4.05,15.3
lone_sheep,19.69,100.0,4.7,15.0
lone_sheep,18.62,100.0,4.49,14.13
lone_sheep,19.23,100.0,4.3,14.93
right_angle,23.6,100.0,0.36,23.31
right_angle,22.26,100.0,0.38,21.88
right_angle,22.67,100.0,0.4,22.27
