Testtype,Gjetetid,Suksessrate,Oppsamlingstid,Drivetid
cooperative_flock,15.72,100.0,0.39,15.37
cooperative_flock,15.28,100.0,0.14,15.15
cooperative_flock,15.34,100.0,0.13,15.21
cooperative_flock,15.35,100.0,0.22,15.13
cooperative_flock,15.2,100.0,0.13,15.07
cooperative_flock,15.29,100.0,0.12,15.17
cooperative_flock,15.13,100.0,0.15,14.99
cooperative_flock,15.14,100.0,0.14,15.0
cooperative_flock,15.17,100.0,0.13,15.04
cooperative_flock,15.32,100.0,0.25,15.08
cooperative_flock,15.22,100.0,0.17,15.05
cooperative_flock,15.16,100.0,0.2,14.96
cooperative_flock,15.11,100.0,0.18,14.92
cooperative_flock,15.47,100.0,0.41,15.06
cooperative_flock,15.42,100.0,0.21,15.21
cooperative_flock,15.59,100.0,0.29,15.3
cooperative_flock,15.54,100.0,0.42,15.12
cooperative_flock,15.73,100.0,0.39,15.34
cooperative_flock,15.92,100.0,0.65,15.27
cooperative_flock,15.18,100.0,0.19,14.99
cooperative_flock,15.74,100.0,0.25,15.54
cooperative_flock,15.33,100.0,0.15,15.18
cooperative_flock,15.46,100.0,0.26,15.21
cooperative_flock,15.59,100.0,0.37,15.22
cooperative_flock,15.53,100.0,0.37,15.17
cooperative_flock,15.77,100.0,0.5,15.27
cooperative_flock,15.61,100.0,0.31,15.3
cooperative_flock,15.66,100.0,0.32,15.34
cooperative_flock,15.65,100.0,0.41,15.24
cooperative_flock,15.54,100.0,0.37,15.17
cooperative_flock,15.5,100.0,0.42,15.08
cooperative_flock,15.66,100.0,0.37,15.3
cooperative_flock,15.64,100.0,0.44,15.2
cooperative_flock,15.72,100.0,0.44,15.28
cooperative_flock,15.74,100.0,0.45,15.29
cooperative_flock,15.52,100.0,0.36,15.15
cooperative_flock,15.73,100.0,0.43,15.3
cooperative_flock,15.71,100.0,0.36,15.35
cooperative_flock,15.68,100.0,0.4,15.29
cooperative_flock,15.77,100.0,0.45,15.32
cooperative_flock,16.13,100.0,0.44,15.76
cooperative_flock,15.62,100.0,0.32,15.3
