Testtype,Vinkel,Gjetetid,Suksessrate,Oppsamlingstid,Drivetid
cooperative_flock,10,16.9,100.0,0.82,16.09
cooperative_flock,10,15.73,100.0,0.38,15.35
cooperative_flock,10,15.96,100.0,0.62,15.33
cooperative_flock,10,15.81,100.0,0.47,15.34
cooperative_flock,10,15.7,100.0,0.4,15.3
cooperative_flock,10,15.53,100.0,0.45,15.08
cooperative_flock,10,15.65,100.0,0.38,15.27
cooperative_flock,10,15.8,100.0,0.47,15.33
cooperative_flock,10,15.48,100.0,0.26,15.22
cooperative_flock,10,15.61,100.0,0.31,15.3
cooperative_flock,10,15.82,100.0,0.43,15.4
cooperative_flock,10,15.49,100.0,0.37,15.12
cooperative_flock,10,15.65,100.0,0.4,15.26
cooperative_flock,10,15.99,100.0,0.58,15.41
cooperative_flock,10,15.9,100.0,0.56,15.34
cooperative_flock,10,15.73,100.0,0.34,15.38
cooperative_flock,10,15.82,100.0,0.44,15.38
cooperative_flock,10,15.51,100.0,0.44,15.08
cooperative_flock,10,15.73,100.0,0.43,15.31
cooperative_flock,10,15.7,100.0,0.31,15.4
cooperative_flock,10,16.12,100.0,0.49,15.7
cooperative_flock,10,15.62,100.0,0.37,15.25
cooperative_flock,10,15.84,100.0,0.42,15.41
cooperative_flock,10,15.66,100.0,0.46,15.2
cooperative_flock,10,15.72,100.0,0.46,15.26
cooperative_flock,10,15.8,100.0,0.54,15.26
cooperative_flock,10,15.68,100.0,0.34,15.35
cooperative_flock,10,15.82,100.0,0.33,15.5
cooperative_flock,10,15.7,100.0,0.42,15.28
cooperative_flock,10,15.71,100.0,0.44,15.27
cooperative_flock,10,15.87,100.0,0.52,15.35
cooperative_flock,10,15.81,100.0,0.47,15.34
cooperative_flock,10,15.61,100.0,0.44,15.21
cooperative_flock,10,15.87,100.0,0.62,15.25
cooperative_flock,10,15.79,100.0,0.49,15.3
cooperative_flock,10,15.78,100.0,0.54,15.24
cooperative_flock,10,15.74,100.0,0.47,15.28
cooperative_flock,10,15.54,100.0,0.4,15.14
cooperative_flock,10,15.85,100.0,0.48,15.37
cooperative_flock,10,15.27,100.0,0.33,14.95
cooperative_flock,10,16.12,100.0,0.41,15.78
cooperative_flock,10,15.75,100.0,0.43,15.31
cooperative_flock,10,15.72,100.0,0.46,15.26
cooperative_flock,10,15.71,100.0,0.43,15.28
cooperative_flock,10,15.86,100.0,0.4,15.46
cooperative_flock,10,15.73,100.0,0.36,15.37
cooperative_flock,10,15.65,100.0,0.41,15.24
cooperative_flock,10,15.83,100.0,0.49,15.35
cooperative_flock,10,15.6,100.0,0.41,15.19
cooperative_flock,10,15.51,100.0,0.37,15.14
cooperative_flock,10,15.6,100.0,0.35,15.25
cooperative_flock,10,15.9,100.0,0.44,15.46
cooperative_flock,10,15.45,100.0,0.34,15.11
cooperative_flock,10,15.22,100.0,0.35,14.87
cooperative_flock,10,15.39,100.0,0.38,15.01
cooperative_flock,10,15.77,100.0,0.39,15.38
cooperative_flock,10,15.65,100.0,0.5,15.15
cooperative_flock,10,15.79,100.0,0.43,15.36
cooperative_flock,10,15.68,100.0,0.4,15.28
cooperative_flock,10,15.49,100.0,0.49,15.0
cooperative_flock,10,16.3,100.0,0.42,15.94
cooperative_flock,10,15.72,100.0,0.4,15.33
cooperative_flock,10,15.69,100.0,0.41,15.28
cooperative_flock,10,15.84,100.0,0.37,15.47
cooperative_flock,10,15.74,100.0,0.35,15.39
cooperative_flock,10,15.85,100.0,0.51,15.34
cooperative_flock,10,15.79,100.0,0.44,15.36
cooperative_flock,10,15.64,100.0,0.42,15.22
cooperative_flock,10,15.64,100.0,0.33,15.31
cooperative_flock,10,15.74,100.0,0.54,15.21
cooperative_flock,10,15.61,100.0,0.48,15.13
cooperative_flock,10,15.88,100.0,0.5,15.38
cooperative_flock,10,15.59,100.0,0.51,15.09
cooperative_flock,10,15.81,100.0,0.38,15.43
cooperative_flock,10,15.94,100.0,0.63,15.31
cooperative_flock,10,15.59,100.0,0.42,15.17
cooperative_flock,10,15.79,100.0,0.41,15.38
cooperative_flock,10,15.83,100.0,0.47,15.37
cooperative_flock,10,15.78,100.0,0.39,15.39
cooperative_flock,10,15.69,100.0,0.39,15.31
cooperative_flock,10,16.4,100.0,0.34,16.12
cooperative_flock,10,15.64,100.0,0.39,15.26
cooperative_flock,10,15.59,100.0,0.35,15.24
cooperative_flock,10,15.64,100.0,0.33,15.32
cooperative_flock,10,15.48,100.0,0.34,15.15
cooperative_flock,10,15.9,100.0,0.5,15.4
cooperative_flock,10,15.68,100.0,0.34,15.35
cooperative_flock,10,15.68,100.0,0.4,15.28
cooperative_flock,10,15.89,100.0,0.54,15.36
cooperative_flock,10,15.6,100.0,0.49,15.11
cooperative_flock,10,15.84,100.0,0.48,15.36
cooperative_flock,10,16.02,100.0,0.67,15.34
cooperative_flock,10,15.72,100.0,0.39,15.34
cooperative_flock,10,15.45,100.0,0.31,15.13
cooperative_flock,10,15.61,100.0,0.4,15.21
cooperative_flock,10,15.65,100.0,0.4,15.25
cooperative_flock,10,15.82,100.0,0.45,15.38
cooperative_flock,10,15.93,100.0,0.4,15.53
cooperative_flock,10,15.8,100.0,0.45,15.35
cooperative_flock,10,15.61,100.0,0.38,15.23
cooperative_flock,15,16.29,100.0,0.41,15.94
cooperative_flock,15,15.66,100.0,0.57,15.1
cooperative_flock,15,15.82,100.0,0.52,15.31
cooperative_flock,15,15.59,100.0,0.4,15.19
cooperative_flock,15,15.81,100.0,0.61,15.2
cooperative_flock,15,15.75,100.0,0.81,14.94
cooperative_flock,15,15.6,100.0,0.49,15.11
cooperative_flock,15,15.77,100.0,0.56,15.21
cooperative_flock,15,15.64,100.0,0.37,15.28
cooperative_flock,15,15.65,100.0,0.47,15.18
cooperative_flock,15,15.55,100.0,0.4,15.16
cooperative_flock,15,15.72,100.0,0.41,15.31
cooperative_flock,15,15.7,100.0,0.49,15.21
cooperative_flock,15,15.58,100.0,0.53,15.06
cooperative_flock,15,15.66,100.0,0.47,15.19
cooperative_flock,15,15.44,100.0,0.41,15.03
cooperative_flock,15,15.69,100.0,0.45,15.24
cooperative_flock,15,15.59,100.0,0.37,15.22
cooperative_flock,15,15.52,100.0,0.28,15.24
cooperative_flock,15,15.55,100.0,0.58,14.97
cooperative_flock,15,16.11,100.0,0.46,15.72
