Testtype,Gjetetid,Suksessrate,Oppsamlingstid,Drivetid
cooperative_flock,17.8,100.0,0.18,17.65
cooperative_flock,16.8,100.0,0.19,16.61
cooperative_flock,17.38,100.0,0.18,17.2
cooperative_flock,16.77,100.0,0.19,16.59
cooperative_flock,16.87,100.0,0.19,16.69
cooperative_flock,18.54,100.0,0.24,18.3
cooperative_flock,16.89,100.0,0.18,16.71
cooperative_flock,16.5,100.0,0.19,16.31
cooperative_flock,17.0,100.0,0.19,16.81
cooperative_flock,17.5,100.0,0.19,17.31
cooperative_flock,18.3,100.0,0.2,18.11
cooperative_flock,17.38,100.0,0.18,17.2
cooperative_flock,17.19,100.0,0.19,17.0
cooperative_flock,16.78,100.0,0.18,16.6
cooperative_flock,17.77,100.0,0.17,17.6
cooperative_flock,17.5,100.0,0.19,17.31
cooperative_flock,18.18,100.0,0.18,18.0
cooperative_flock,16.5,100.0,0.2,16.31
cooperative_flock,16.88,100.0,0.18,16.7
cooperative_flock,17.27,100.0,0.18,17.09
cooperative_flock,16.88,100.0,0.18,16.69
cooperative_flock,16.18,100.0,0.18,16.0
cooperative_flock,17.2,100.0,0.19,17.01
cooperative_flock,17.18,100.0,0.18,17.0
cooperative_flock,16.59,100.0,0.19,16.41
cooperative_flock,17.5,100.0,0.2,17.31
cooperative_flock,18.38,100.0,0.18,18.2
cooperative_flock,17.29,100.0,0.19,17.1
cooperative_flock,16.9,100.0,0.19,16.71
cooperative_flock,18.9,100.0,0.19,18.71
cooperative_flock,16.48,100.0,0.18,16.3
cooperative_flock,17.89,100.0,0.18,17.7
cooperative_flock,17.52,100.0,0.33,17.2
cooperative_flock,19.9,100.0,0.19,19.71
cooperative_flock,17.98,100.0,0.18,17.8
cooperative_flock,17.9,100.0,0.19,17.71
cooperative_flock,17.88,100.0,0.19,17.69
cooperative_flock,18.07,100.0,0.18,17.89
cooperative_flock,17.57,100.0,0.18,17.39
cooperative_flock,17.58,100.0,0.18,17.39
cooperative_flock,16.81,100.0,0.21,16.6
cooperative_flock,17.8,100.0,0.19,17.61
cooperative_flock,17.08,100.0,0.18,16.9
cooperative_flock,17.9,100.0,0.19,17.71
cooperative_flock,17.88,100.0,0.18,17.7
cooperative_flock,18.59,100.0,0.19,18.4
cooperative_flock,17.3,100.0,0.19,17.11
cooperative_flock,18.3,100.0,0.19,18.11
cooperative_flock,17.28,100.0,0.18,17.1
cooperative_flock,17.0,100.0,0.19,16.81
cooperative_flock,17.29,100.0,0.19,17.1
cooperative_flock,16.4,100.0,0.19,16.21
cooperative_flock,16.7,100.0,0.19,16.51
cooperative_flock,18.68,100.0,0.18,18.5
cooperative_flock,18.49,100.0,0.19,18.3
cooperative_flock,17.99,100.0,0.2,17.8
cooperative_flock,16.69,100.0,0.19,16.5
cooperative_flock,18.1,100.0,0.19,17.91
