Testtype,Gjetetid,Suksessrate,Oppsamlingstid,Drivetid
cooperative_flock,15.99,100.0,0.28,15.74
cooperative_flock,15.54,100.0,0.09,15.45
cooperative_flock,15.42,100.0,0.1,15.32
cooperative_flock,15.68,100.0,0.11,15.56
cooperative_flock,15.45,100.0,0.11,15.34
cooperative_flock,15.51,100.0,0.1,15.41
cooperative_flock,15.47,100.0,0.11,15.36
cooperative_flock,15.57,100.0,0.11,15.47
cooperative_flock,15.51,100.0,0.13,15.39
cooperative_flock,15.44,100.0,0.1,15.34
cooperative_flock,15.56,100.0,0.1,15.46
cooperative_flock,15.37,100.0,0.1,15.27
cooperative_flock,15.42,100.0,0.12,15.31
cooperative_flock,15.58,100.0,0.23,15.36
cooperative_flock,15.57,100.0,0.2,15.38
cooperative_flock,15.62,100.0,0.18,15.45
cooperative_flock,15.69,100.0,0.15,15.53
cooperative_flock,15.64,100.0,0.14,15.51
cooperative_flock,15.63,100.0,0.21,15.43
cooperative_flock,15.62,100.0,0.2,15.42
cooperative_flock,15.88,100.0,0.24,15.7
cooperative_flock,15.62,100.0,0.16,15.46
cooperative_flock,15.76,100.0,0.33,15.43
cooperative_flock,15.64,100.0,0.3,15.35
cooperative_flock,15.58,100.0,0.2,15.38
cooperative_flock,15.68,100.0,0.21,15.48
cooperative_flock,15.78,100.0,0.25,15.54
cooperative_flock,15.61,100.0,0.37,15.24
cooperative_flock,15.98,100.0,0.43,15.55
cooperative_flock,15.8,100.0,0.42,15.38
cooperative_flock,15.94,100.0,0.42,15.52
cooperative_flock,15.63,100.0,0.2,15.43
cooperative_flock,15.8,100.0,0.25,15.56
cooperative_flock,15.54,100.0,0.18,15.37
cooperative_flock,15.78,100.0,0.35,15.44
cooperative_flock,15.95,100.0,0.5,15.45
cooperative_flock,15.8,100.0,0.36,15.47
cooperative_flock,15.89,100.0,0.46,15.44
cooperative_flock,16.05,100.0,0.43,15.63
cooperative_flock,15.78,100.0,0.3,15.5
cooperative_flock,16.84,100.0,0.41,16.43
cooperative_flock,15.91,100.0,0.38,15.54
cooperative_flock,15.82,100.0,0.35,15.47
cooperative_flock,15.96,100.0,0.36,15.6
cooperative_flock,15.93,100.0,0.42,15.51
cooperative_flock,15.85,100.0,0.42,15.43
cooperative_flock,15.85,100.0,0.38,15.47
cooperative_flock,15.58,100.0,0.35,15.23
cooperative_flock,15.98,100.0,0.37,15.61
cooperative_flock,15.8,100.0,0.28,15.53
cooperative_flock,16.09,100.0,0.45,15.64
cooperative_flock,15.6,100.0,0.34,15.27
cooperative_flock,16.11,100.0,0.45,15.66
cooperative_flock,15.87,100.0,0.33,15.54
cooperative_flock,15.81,100.0,0.39,15.42
cooperative_flock,15.81,100.0,0.41,15.4
cooperative_flock,15.67,100.0,0.34,15.34
cooperative_flock,15.83,100.0,0.39,15.44
cooperative_flock,15.79,100.0,0.32,15.47
cooperative_flock,15.99,100.0,0.45,15.54
cooperative_flock,16.77,100.0,0.41,16.37
cooperative_flock,15.94,100.0,0.45,15.49
cooperative_flock,15.99,100.0,0.39,15.61
cooperative_flock,15.97,100.0,0.43,15.54
cooperative_flock,16.09,100.0,0.48,15.61
cooperative_flock,15.93,100.0,0.45,15.48
cooperative_flock,15.79,100.0,0.33,15.47
cooperative_flock,16.03,100.0,0.48,15.56
cooperative_flock,15.96,100.0,0.37,15.59
cooperative_flock,15.88,100.0,0.32,15.57
cooperative_flock,16.08,100.0,0.44,15.65
cooperative_flock,16.06,100.0,0.44,15.63
cooperative_flock,16.0,100.0,0.48,15.53
cooperative_flock,16.11,100.0,0.56,15.55
cooperative_flock,16.11,100.0,0.38,15.73
cooperative_flock,15.89,100.0,0.42,15.47
cooperative_flock,15.79,100.0,0.33,15.46
