Testtype,Vinkel,Gjetetid,Suksessrate,Oppsamlingstid,Drivetid
cooperative_flock,10,15.98,100.0,0.37,15.64
cooperative_flock,10,15.8,100.0,0.2,15.6
cooperative_flock,10,15.8,100.0,0.2,15.6
cooperative_flock,10,15.41,100.0,0.21,15.2
cooperative_flock,10,15.7,100.0,0.2,15.5
cooperative_flock,10,15.41,100.0,0.21,15.2
cooperative_flock,10,15.39,100.0,0.19,15.2
cooperative_flock,10,15.68,100.0,0.18,15.5
cooperative_flock,10,15.61,100.0,0.21,15.4
cooperative_flock,10,16.0,100.0,0.19,15.81
cooperative_flock,10,15.69,100.0,0.19,15.5
cooperative_flock,10,16.0,100.0,0.2,15.8
cooperative_flock,10,16.0,100.0,0.19,15.81
cooperative_flock,10,15.7,100.0,0.2,15.5
cooperative_flock,10,15.99,100.0,0.19,15.8
cooperative_flock,10,15.6,100.0,0.19,15.41
cooperative_flock,10,15.8,100.0,0.2,15.61
cooperative_flock,10,15.7,100.0,0.2,15.5
cooperative_flock,10,15.3,100.0,0.19,15.11
cooperative_flock,10,15.4,100.0,0.19,15.21
cooperative_flock,10,15.4,100.0,0.2,15.21
cooperative_flock,10,15.39,100.0,0.19,15.2
cooperative_flock,10,15.3,100.0,0.2,15.1
cooperative_flock,10,15.69,100.0,0.19,15.5
cooperative_flock,10,15.49,100.0,0.19,15.3
cooperative_flock,10,15.3,100.0,0.19,15.11
cooperative_flock,10,15.8,100.0,0.2,15.61
cooperative_flock,10,15.28,100.0,0.18,15.1
cooperative_flock,10,15.29,100.0,0.19,15.1
cooperative_flock,10,16.42,100.0,0.32,16.1
cooperative_flock,10,15.82,100.0,0.23,15.6
cooperative_flock,10,15.69,100.0,0.19,15.5
cooperative_flock,10,15.6,100.0,0.19,15.41
cooperative_flock,10,15.8,100.0,0.2,15.61
cooperative_flock,10,15.6,100.0,0.19,15.41
cooperative_flock,10,15.7,100.0,0.2,15.51
cooperative_flock,10,15.41,100.0,0.21,15.2
cooperative_flock,10,15.6,100.0,0.19,15.41
cooperative_flock,10,15.4,100.0,0.2,15.21
cooperative_flock,10,15.59,100.0,0.19,15.41
cooperative_flock,10,15.6,100.0,0.2,15.44
cooperative_flock,10,15.5,100.0,0.19,15.31
cooperative_flock,10,15.7,100.0,0.19,15.51
cooperative_flock,10,16.1,100.0,0.19,15.91
cooperative_flock,10,15.2,100.0,0.2,15.01
cooperative_flock,10,15.6,100.0,0.2,15.4
