Testtype,Vinkel,Gjetetid,Suksessrate,Oppsamlingstid,Drivetid
cooperative_flock,10,16.54,100.0,0.7,15.84
cooperative_flock,10,15.74,100.0,0.39,15.36
cooperative_flock,10,15.7,100.0,0.31,15.4
cooperative_flock,10,15.79,100.0,0.42,15.37
cooperative_flock,10,15.68,100.0,0.42,15.26
cooperative_flock,10,15.5,100.0,0.37,15.13
cooperative_flock,10,15.83,100.0,0.35,15.49
cooperative_flock,10,15.81,100.0,0.42,15.39
cooperative_flock,10,15.62,100.0,0.35,15.28
cooperative_flock,10,15.59,100.0,0.47,15.12
cooperative_flock,10,15.73,100.0,0.41,15.32
cooperative_flock,10,15.65,100.0,0.34,15.31
cooperative_flock,10,15.75,100.0,0.47,15.28
cooperative_flock,10,15.88,100.0,0.38,15.5
cooperative_flock,10,15.77,100.0,0.38,15.39
cooperative_flock,10,15.79,100.0,0.36,15.43
cooperative_flock,10,15.58,100.0,0.32,15.27
cooperative_flock,10,15.66,100.0,0.36,15.31
cooperative_flock,10,15.38,100.0,0.37,15.02
cooperative_flock,10,16.14,100.0,0.4,15.74
cooperative_flock,10,16.5,100.0,0.3,16.27
cooperative_flock,10,15.57,100.0,0.32,15.25
cooperative_flock,10,15.72,100.0,0.37,15.36
cooperative_flock,10,15.68,100.0,0.42,15.26
cooperative_flock,10,15.71,100.0,0.39,15.32
cooperative_flock,10,15.43,100.0,0.25,15.19
cooperative_flock,10,15.67,100.0,0.28,15.38
cooperative_flock,10,15.64,100.0,0.29,15.35
cooperative_flock,10,15.68,100.0,0.44,15.23
cooperative_flock,10,15.58,100.0,0.25,15.33
cooperative_flock,10,15.81,100.0,0.42,15.39
cooperative_flock,10,15.45,100.0,0.27,15.18
cooperative_flock,10,15.65,100.0,0.43,15.22
cooperative_flock,10,15.87,100.0,0.45,15.42
cooperative_flock,10,15.75,100.0,0.4,15.35
cooperative_flock,10,15.54,100.0,0.33,15.21
cooperative_flock,10,15.56,100.0,0.36,15.2
cooperative_flock,10,15.8,100.0,0.45,15.35
cooperative_flock,10,15.68,100.0,0.36,15.32
cooperative_flock,10,15.53,100.0,0.36,15.17
cooperative_flock,10,15.86,100.0,0.32,15.61
cooperative_flock,10,15.61,100.0,0.41,15.2
cooperative_flock,10,15.67,100.0,0.38,15.29
cooperative_flock,10,15.51,100.0,0.44,15.08
cooperative_flock,10,15.64,100.0,0.39,15.25
cooperative_flock,10,15.61,100.0,0.38,15.23
cooperative_flock,10,15.58,100.0,0.29,15.3
cooperative_flock,10,15.66,100.0,0.31,15.35
cooperative_flock,10,15.69,100.0,0.39,15.3
cooperative_flock,10,15.96,100.0,0.46,15.5
cooperative_flock,10,15.51,100.0,0.35,15.16
cooperative_flock,10,15.79,100.0,0.32,15.49
cooperative_flock,10,15.65,100.0,0.31,15.34
cooperative_flock,10,15.64,100.0,0.34,15.3
cooperative_flock,10,15.66,100.0,0.45,15.22
cooperative_flock,10,15.39,100.0,0.34,15.05
cooperative_flock,10,15.74,100.0,0.44,15.3
cooperative_flock,10,15.6,100.0,0.29,15.31
cooperative_flock,10,15.76,100.0,0.4,15.36
cooperative_flock,10,15.64,100.0,0.43,15.21
cooperative_flock,10,16.14,100.0,0.38,15.83
cooperative_flock,10,15.86,100.0,0.4,15.46
cooperative_flock,10,15.72,100.0,0.32,15.4
cooperative_flock,10,15.53,100.0,0.34,15.19
cooperative_flock,10,15.51,100.0,0.33,15.18
cooperative_flock,10,15.67,100.0,0.44,15.23
cooperative_flock,10,15.81,100.0,0.43,15.38
cooperative_flock,10,15.68,100.0,0.4,15.28
