Testtype,Vinkel,Gjetetid,Suksessrate,Oppsamlingstid,Drivetid
cooperative_flock,10,16.48,100.0,0.66,15.9
cooperative_flock,10,15.84,100.0,0.49,15.36
cooperative_flock,10,15.42,100.0,0.34,15.08
cooperative_flock,10,15.94,100.0,0.57,15.36
cooperative_flock,10,15.67,100.0,0.52,15.15
cooperative_flock,10,15.92,100.0,0.58,15.35
cooperative_flock,10,15.79,100.0,0.34,15.45
cooperative_flock,10,15.74,100.0,0.44,15.3
cooperative_flock,10,15.73,100.0,0.37,15.37
cooperative_flock,10,15.35,100.0,0.35,15.01
cooperative_flock,10,15.78,100.0,0.38,15.41
cooperative_flock,10,15.38,100.0,0.35,15.04
cooperative_flock,10,15.61,100.0,0.31,15.31
cooperative_flock,10,15.56,100.0,0.44,15.13
cooperative_flock,10,15.69,100.0,0.5,15.19
cooperative_flock,10,15.73,100.0,0.38,15.35
cooperative_flock,10,15.81,100.0,0.44,15.37
cooperative_flock,10,15.6,100.0,0.28,15.32
cooperative_flock,10,15.78,100.0,0.51,15.27
cooperative_flock,10,15.33,100.0,0.33,15.0
cooperative_flock,10,16.19,100.0,0.39,15.86
cooperative_flock,10,15.79,100.0,0.58,15.21
cooperative_flock,10,15.74,100.0,0.36,15.39
cooperative_flock,10,15.42,100.0,0.33,15.09
cooperative_flock,10,15.5,100.0,0.32,15.18
cooperative_flock,10,15.87,100.0,0.42,15.46
cooperative_flock,10,15.55,100.0,0.35,15.2
cooperative_flock,10,15.59,100.0,0.33,15.26
cooperative_flock,10,15.74,100.0,0.41,15.34
cooperative_flock,10,15.5,100.0,0.39,15.11
cooperative_flock,10,15.52,100.0,0.29,15.24
cooperative_flock,10,15.58,100.0,0.39,15.19
cooperative_flock,10,15.72,100.0,0.45,15.27
cooperative_flock,10,15.46,100.0,0.3,15.16
cooperative_flock,10,15.88,100.0,0.54,15.35
cooperative_flock,10,15.72,100.0,0.38,15.35
cooperative_flock,10,15.67,100.0,0.41,15.27
cooperative_flock,10,15.51,100.0,0.41,15.11
cooperative_flock,10,15.61,100.0,0.41,15.2
cooperative_flock,10,15.54,100.0,0.39,15.15
cooperative_flock,10,16.36,100.0,0.33,16.11
cooperative_flock,10,15.45,100.0,0.35,15.1
cooperative_flock,10,15.69,100.0,0.31,15.38
cooperative_flock,10,15.75,100.0,0.34,15.41
cooperative_flock,10,15.71,100.0,0.35,15.35
cooperative_flock,10,15.66,100.0,0.38,15.28
cooperative_flock,10,15.63,100.0,0.41,15.21
cooperative_flock,10,15.84,100.0,0.47,15.37
cooperative_flock,10,15.62,100.0,0.32,15.3
cooperative_flock,10,15.57,100.0,0.31,15.26
cooperative_flock,10,15.27,100.0,0.32,14.96
cooperative_flock,10,15.7,100.0,0.41,15.28
cooperative_flock,10,15.79,100.0,0.34,15.46
cooperative_flock,10,15.67,100.0,0.38,15.3
cooperative_flock,10,15.71,100.0,0.53,15.19
cooperative_flock,10,15.74,100.0,0.47,15.27
cooperative_flock,10,15.66,100.0,0.33,15.33
cooperative_flock,10,15.42,100.0,0.36,15.06
cooperative_flock,10,15.79,100.0,0.42,15.37
cooperative_flock,10,15.77,100.0,0.46,15.31
cooperative_flock,10,16.2,100.0,0.4,15.88
cooperative_flock,10,15.44,100.0,0.32,15.13
cooperative_flock,10,15.59,100.0,0.45,15.14
cooperative_flock,10,15.59,100.0,0.33,15.26
