Testtype,Gjetetid,Suksessrate,Oppsamlingstid,Drivetid
cooperative_flock,1450.53,100.0,78.93,1371.6
cooperative_flock,1386.27,100.0,17.19,1369.08
cooperative_flock,1396.8,100.0,19.71,1377.09
cooperative_flock,1377.09,100.0,18.45,1358.64
cooperative_flock,1377.36,100.0,17.55,1359.81
cooperative_flock,1378.17,100.0,19.08,1359.09
cooperative_flock,1369.35,100.0,19.26,1350.09
cooperative_flock,1350.63,100.0,18.63,1332.0
cooperative_flock,1377.63,100.0,19.53,1358.1
cooperative_flock,1395.27,100.0,17.46,1377.81
cooperative_flock,1404.36,100.0,18.27,1386.09
cooperative_flock,1386.27,100.0,18.09,1368.18
cooperative_flock,1396.98,100.0,19.98,1377.0
cooperative_flock,1395.27,100.0,16.83,1378.44
cooperative_flock,1395.18,100.0,17.46,1377.72
cooperative_flock,1394.91,100.0,17.73,1377.18
cooperative_flock,1396.89,100.0,19.98,1376.91
cooperative_flock,1405.26,100.0,19.26,1386.0
cooperative_flock,1411.38,100.0,16.83,1394.55
cooperative_flock,1377.27,100.0,17.82,1359.45
cooperative_flock,1386.27,100.0,18.09,1368.18
cooperative_flock,1429.38,100.0,16.38,1413.0
cooperative_flock,1395.63,100.0,19.44,1376.19
cooperative_flock,1422.27,100.0,17.91,1404.36
cooperative_flock,1386.18,100.0,17.01,1369.17
cooperative_flock,1395.45,100.0,18.54,1376.91
cooperative_flock,1385.64,100.0,17.64,1368.0
cooperative_flock,1377.27,100.0,17.1,1360.17
cooperative_flock,1386.18,100.0,17.73,1368.45
cooperative_flock,1387.62,100.0,19.62,1368.0
cooperative_flock,1379.25,100.0,20.16,1359.09
cooperative_flock,1385.91,100.0,16.83,1369.08
cooperative_flock,1386.27,100.0,17.91,1368.36
cooperative_flock,1402.29,100.0,16.38,1385.91
cooperative_flock,1395.63,100.0,18.45,1377.18
cooperative_flock,1404.18,100.0,17.37,1386.81
cooperative_flock,1431.27,100.0,17.28,1413.99
cooperative_flock,1403.28,100.0,17.28,1386.0
cooperative_flock,1387.17,100.0,18.99,1368.18
cooperative_flock,1388.43,100.0,20.43,1368.0
cooperative_flock,1404.27,100.0,18.27,1386.0
cooperative_flock,1397.16,100.0,19.98,1377.18
cooperative_flock,1368.27,100.0,18.27,1350.0
cooperative_flock,1404.63,100.0,18.54,1386.09
cooperative_flock,1395.45,100.0,18.36,1377.09
cooperative_flock,1403.82,100.0,17.73,1386.09
cooperative_flock,1404.99,100.0,18.81,1386.18
cooperative_flock,1377.09,100.0,16.83,1360.26
cooperative_flock,1440.18,100.0,17.19,1422.99
cooperative_flock,1394.46,100.0,17.37,1377.09
cooperative_flock,1359.54,100.0,18.45,1341.09
cooperative_flock,1386.36,100.0,17.37,1368.99
cooperative_flock,1393.38,100.0,16.2,1377.18
cooperative_flock,1377.18,100.0,17.28,1359.9
cooperative_flock,1384.11,100.0,16.11,1368.0
cooperative_flock,1386.27,100.0,17.73,1368.54
cooperative_flock,1395.18,100.0,17.82,1377.36
cooperative_flock,1388.61,100.0,21.78,1366.83
cooperative_flock,1395.18,100.0,17.82,1377.36
cooperative_flock,1386.27,100.0,18.0,1368.27
cooperative_flock,1386.18,100.0,17.01,1369.17
cooperative_flock,1403.1,100.0,17.1,1386.0
cooperative_flock,1377.18,100.0,17.73,1359.45
cooperative_flock,1395.27,100.0,16.83,1378.44
cooperative_flock,1386.36,100.0,17.64,1368.72
cooperative_flock,1403.82,100.0,17.82,1386.0
cooperative_flock,1360.53,100.0,19.53,1341.0
cooperative_flock,1369.53,100.0,20.52,1349.01
cooperative_flock,1395.27,100.0,17.55,1377.72
cooperative_flock,1395.18,100.0,17.73,1377.45
cooperative_flock,1377.18,100.0,17.55,1359.63
cooperative_flock,1377.18,100.0,18.36,1358.82
cooperative_flock,1368.18,100.0,17.01,1351.17
cooperative_flock,1395.18,100.0,17.1,1378.08
cooperative_flock,1378.17,100.0,19.71,1358.46
cooperative_flock,1377.18,100.0,17.91,1359.27
cooperative_flock,1377.36,100.0,17.1,1360.26
cooperative_flock,1386.27,100.0,17.55,1368.72
cooperative_flock,1387.53,100.0,19.53,1368.0
cooperative_flock,1377.99,100.0,18.99,1359.0
cooperative_flock,1395.09,100.0,16.83,1378.26
cooperative_flock,1368.18,100.0,18.0,1350.18
cooperative_flock,1377.27,100.0,17.19,1360.08
cooperative_flock,1374.57,100.0,15.57,1359.0
cooperative_flock,1395.27,100.0,17.46,1377.81
cooperative_flock,1377.18,100.0,18.18,1359.0
cooperative_flock,1375.2,100.0,25.2,1350.0
cooperative_flock,1397.97,100.0,20.7,1377.27
cooperative_flock,1378.08,100.0,19.08,1359.0
cooperative_flock,1413.27,100.0,17.91,1395.36
cooperative_flock,1395.18,100.0,18.36,1376.82
cooperative_flock,1377.27,100.0,17.91,1359.36
cooperative_flock,1386.63,100.0,18.63,1368.0
cooperative_flock,1384.2,100.0,16.56,1367.64
cooperative_flock,1368.18,100.0,17.64,1350.54
cooperative_flock,1386.18,100.0,17.73,1368.45
