Testtype,Gjetetid,Suksessrate,Oppsamlingstid,Drivetid
cooperative_flock,1485.81,100.0,18.72,1467.09
cooperative_flock,1467.18,100.0,18.18,1449.0
cooperative_flock,1476.63,100.0,18.45,1458.18
cooperative_flock,1422.45,100.0,18.36,1404.09
cooperative_flock,1530.27,100.0,16.92,1513.35
cooperative_flock,1431.36,100.0,18.27,1413.09
cooperative_flock,1556.91,100.0,17.82,1539.09
cooperative_flock,1474.56,100.0,16.56,1458.0
cooperative_flock,1449.81,100.0,18.81,1431.0
cooperative_flock,1449.36,100.0,18.45,1430.91
cooperative_flock,1475.19,100.0,16.65,1458.54
cooperative_flock,1468.26,100.0,19.26,1449.0
cooperative_flock,1458.27,100.0,17.46,1440.81
cooperative_flock,1663.65,100.0,16.47,1647.18
cooperative_flock,1467.18,100.0,18.0,1449.18
cooperative_flock,1467.27,100.0,18.0,1449.27
cooperative_flock,1566.18,100.0,17.55,1548.63
cooperative_flock,1466.73,100.0,17.64,1449.09
cooperative_flock,1431.45,100.0,18.45,1413.0
cooperative_flock,1440.18,100.0,18.09,1422.09
cooperative_flock,1453.41,100.0,18.99,1434.42
cooperative_flock,1620.27,100.0,17.91,1602.36
cooperative_flock,1421.64,100.0,17.64,1404.0
cooperative_flock,1441.8,100.0,19.98,1421.82
cooperative_flock,1449.36,100.0,18.27,1431.09
cooperative_flock,1447.38,100.0,16.74,1430.64
cooperative_flock,1503.27,100.0,17.37,1485.9
cooperative_flock,1440.18,100.0,17.28,1422.9
cooperative_flock,1449.27,100.0,17.46,1431.81
cooperative_flock,1467.72,100.0,18.72,1449.0
cooperative_flock,1449.18,100.0,18.18,1431.0
cooperative_flock,1494.36,100.0,16.92,1477.44
cooperative_flock,1530.09,100.0,18.54,1511.55
cooperative_flock,1494.18,100.0,17.64,1476.54
cooperative_flock,1476.45,100.0,18.36,1458.09
cooperative_flock,1476.63,100.0,19.26,1457.37
cooperative_flock,1504.26,100.0,18.9,1485.36
cooperative_flock,1473.21,100.0,24.3,1448.91
cooperative_flock,1460.07,100.0,19.98,1440.09
cooperative_flock,1449.18,100.0,18.18,1431.0
cooperative_flock,1431.36,100.0,17.64,1413.72
cooperative_flock,1476.27,100.0,18.18,1458.09
cooperative_flock,1557.18,100.0,17.82,1539.36
cooperative_flock,1440.18,100.0,18.18,1422.0
cooperative_flock,1440.18,100.0,17.64,1422.54
cooperative_flock,1521.36,100.0,18.36,1503.0
cooperative_flock,1485.36,100.0,18.09,1467.27
cooperative_flock,1467.18,100.0,16.92,1450.26
cooperative_flock,1494.27,100.0,17.46,1476.81
cooperative_flock,1431.27,100.0,17.55,1413.72
cooperative_flock,1503.27,100.0,17.73,1485.54
cooperative_flock,1486.44,100.0,19.35,1467.09
cooperative_flock,1449.18,100.0,17.73,1431.45
cooperative_flock,1512.36,100.0,17.91,1494.45
cooperative_flock,1457.64,100.0,17.55,1440.09
cooperative_flock,1503.36,100.0,18.0,1485.36
cooperative_flock,1456.29,100.0,16.38,1439.91
cooperative_flock,1494.36,100.0,18.0,1476.36
cooperative_flock,1467.18,100.0,18.18,1449.0
cooperative_flock,1476.36,100.0,17.19,1459.17
cooperative_flock,1476.27,100.0,18.27,1458.0
cooperative_flock,1494.27,100.0,17.55,1476.72
cooperative_flock,1431.27,100.0,17.19,1414.08
cooperative_flock,1521.36,100.0,18.81,1502.55
cooperative_flock,1413.63,100.0,18.54,1395.09
cooperative_flock,1449.27,100.0,17.19,1432.08
cooperative_flock,1431.81,100.0,18.72,1413.09
cooperative_flock,1449.27,100.0,18.0,1431.27
cooperative_flock,1521.27,100.0,18.27,1503.0
cooperative_flock,1584.27,100.0,17.73,1566.54
cooperative_flock,1494.27,100.0,17.46,1476.81
cooperative_flock,1449.18,100.0,17.73,1431.45
cooperative_flock,1521.27,100.0,17.37,1503.9
cooperative_flock,1457.73,100.0,17.55,1440.18
cooperative_flock,1485.36,100.0,18.27,1467.09
cooperative_flock,1422.27,100.0,17.55,1404.72
cooperative_flock,1503.18,100.0,18.63,1484.55
cooperative_flock,1584.27,100.0,17.73,1566.54
cooperative_flock,1467.99,100.0,18.9,1449.09
cooperative_flock,1485.27,100.0,18.72,1466.55
cooperative_flock,1458.36,100.0,18.36,1440.0
cooperative_flock,1494.27,100.0,18.09,1476.18
cooperative_flock,1422.36,100.0,18.18,1404.18
cooperative_flock,1449.27,100.0,18.18,1431.09
cooperative_flock,1467.36,100.0,18.27,1449.09
cooperative_flock,1476.27,100.0,18.0,1458.27
cooperative_flock,1438.83,100.0,16.74,1422.09
cooperative_flock,1512.27,100.0,18.0,1494.27
cooperative_flock,1458.45,100.0,16.92,1441.53
cooperative_flock,1530.0,100.0,16.65,1513.35
cooperative_flock,1462.95,100.0,31.86,1431.09
cooperative_flock,1448.73,100.0,17.82,1430.91
cooperative_flock,1449.18,100.0,18.0,1431.18
cooperative_flock,1558.98,100.0,19.98,1539.0
cooperative_flock,1405.26,100.0,19.17,1386.09
cooperative_flock,1449.27,100.0,17.64,1431.63
cooperative_flock,1422.45,100.0,17.19,1405.26
cooperative_flock,1458.9,100.0,18.72,1440.18
cooperative_flock,1530.18,100.0,17.82,1512.36
cooperative_flock,1485.27,100.0,17.64,1467.63
lone_sheep,1971.27,100.0,621.27,1350.0
lone_sheep,1665.99,100.0,594.81,1071.18
lone_sheep,3933.27,100.0,990.18,2943.09
lone_sheep,2286.45,100.0,630.45,1656.0
lone_sheep,1962.36,100.0,512.55,1449.81
lone_sheep,2853.27,100.0,1026.09,1827.18
lone_sheep,1521.36,100.0,576.18,945.18
lone_sheep,2349.18,100.0,620.55,1728.63
lone_sheep,4059.18,100.0,837.09,3222.09
lone_sheep,4050.36,100.0,1233.36,2817.0
lone_sheep,1836.27,100.0,711.18,1125.09
lone_sheep,2527.38,100.0,853.29,1674.09
lone_sheep,1782.18,100.0,594.18,1188.0
lone_sheep,2286.27,100.0,792.09,1494.18
lone_sheep,1536.93,100.0,834.84,702.09
lone_sheep,1674.27,100.0,774.18,900.09
lone_sheep,1656.18,100.0,945.0,711.18
lone_sheep,1485.27,100.0,675.27,810.0
lone_sheep,1701.27,100.0,711.18,990.09
lone_sheep,1971.27,100.0,855.18,1116.09
lone_sheep,2520.18,100.0,783.09,1737.09
lone_sheep,2121.48,100.0,789.48,1332.0
lone_sheep,1737.54,100.0,1026.18,711.36
