Testtype,Gjetetid,Suksessrate,Oppsamlingstid,Drivetid
cooperative_flock,1430.19,100.0,17.19,1413.0
cooperative_flock,1404.27,100.0,17.19,1387.08
cooperative_flock,1422.18,100.0,17.46,1404.72
cooperative_flock,1395.09,100.0,17.37,1377.72
cooperative_flock,1413.18,100.0,17.1,1396.08
cooperative_flock,1396.17,100.0,19.17,1377.0
cooperative_flock,1431.27,100.0,18.18,1413.09
cooperative_flock,1412.19,100.0,17.19,1395.0
cooperative_flock,1402.47,100.0,16.47,1386.0
cooperative_flock,1422.18,100.0,17.28,1404.9
cooperative_flock,1404.54,100.0,18.54,1386.0
cooperative_flock,1413.18,100.0,18.36,1394.82
cooperative_flock,1395.18,100.0,17.28,1377.9
cooperative_flock,1395.18,100.0,17.91,1377.27
cooperative_flock,1404.27,100.0,17.37,1386.9
cooperative_flock,1413.99,100.0,18.54,1395.45
cooperative_flock,1438.02,100.0,15.84,1422.18
cooperative_flock,1413.18,100.0,17.91,1395.27
cooperative_flock,1396.08,100.0,18.99,1377.09
cooperative_flock,1431.27,100.0,16.83,1414.44
cooperative_flock,1422.27,100.0,17.82,1404.45
cooperative_flock,1404.09,100.0,16.92,1387.17
cooperative_flock,1413.18,100.0,17.46,1395.72
cooperative_flock,1413.27,100.0,18.0,1395.27
cooperative_flock,1440.0,100.0,16.74,1423.26
cooperative_flock,1386.09,100.0,17.1,1368.99
cooperative_flock,1404.18,100.0,17.19,1386.99
cooperative_flock,1411.47,100.0,16.47,1395.0
cooperative_flock,1413.36,100.0,16.92,1396.44
cooperative_flock,1395.81,100.0,18.54,1377.27
cooperative_flock,1440.36,100.0,18.18,1422.18
cooperative_flock,1413.18,100.0,17.1,1396.08
cooperative_flock,1421.01,100.0,16.74,1404.27
cooperative_flock,1413.27,100.0,17.01,1396.26
cooperative_flock,1376.1,100.0,17.1,1359.0
cooperative_flock,1404.54,100.0,18.81,1385.73
cooperative_flock,1404.18,100.0,18.09,1386.09
cooperative_flock,1427.13,100.0,23.22,1403.91
cooperative_flock,1413.18,100.0,18.0,1395.18
cooperative_flock,1423.71,100.0,19.62,1404.09
cooperative_flock,1402.83,100.0,16.65,1386.18
cooperative_flock,1431.18,100.0,17.28,1413.9
cooperative_flock,1412.82,100.0,17.64,1395.18
cooperative_flock,1386.36,100.0,18.36,1368.0
cooperative_flock,1413.18,100.0,18.09,1395.09
cooperative_flock,1359.27,100.0,16.92,1342.35
cooperative_flock,1404.18,100.0,18.0,1386.18
cooperative_flock,1377.81,100.0,18.81,1359.0
cooperative_flock,1403.55,100.0,17.55,1386.0
cooperative_flock,1413.27,100.0,16.83,1396.44
cooperative_flock,1413.27,100.0,18.0,1395.27
cooperative_flock,1395.09,100.0,16.83,1378.26
cooperative_flock,1395.54,100.0,18.45,1377.09
cooperative_flock,1413.18,100.0,18.09,1395.09
cooperative_flock,1395.18,100.0,16.83,1378.35
cooperative_flock,1394.55,100.0,16.83,1377.72
cooperative_flock,1431.18,100.0,18.09,1413.09
cooperative_flock,1404.81,100.0,18.72,1386.09
cooperative_flock,1402.83,100.0,16.74,1386.09
cooperative_flock,1412.55,100.0,17.01,1395.54
cooperative_flock,1413.18,100.0,17.37,1395.81
cooperative_flock,1377.09,100.0,17.28,1359.81
cooperative_flock,1413.36,100.0,17.01,1396.35
cooperative_flock,1404.27,100.0,17.91,1386.36
cooperative_flock,1413.27,100.0,17.46,1395.81
cooperative_flock,1413.27,100.0,18.45,1394.82
cooperative_flock,1413.0,100.0,16.83,1396.17
cooperative_flock,1404.27,100.0,17.46,1386.81
cooperative_flock,1386.09,100.0,17.19,1368.99
cooperative_flock,1394.55,100.0,17.46,1377.09
cooperative_flock,1431.99,100.0,18.9,1413.09
cooperative_flock,1402.74,100.0,16.65,1386.09
cooperative_flock,1405.26,100.0,19.17,1386.09
cooperative_flock,1413.18,100.0,17.82,1395.36
