Testtype,Gjetetid,Suksessrate,Oppsamlingstid,Drivetid
cooperative_flock,2655.09,100.0,17.46,2637.63
cooperative_flock,2340.81,100.0,18.63,2322.18
cooperative_flock,2187.18,100.0,17.37,2169.81
cooperative_flock,4381.56,100.0,1051.56,3330.0
cooperative_flock,2112.57,100.0,16.47,2096.1
cooperative_flock,2229.48,100.0,16.56,2212.92
cooperative_flock,3103.29,100.0,52.2,3051.09
cooperative_flock,2769.75,100.0,16.65,2753.1
cooperative_flock,2643.57,100.0,15.93,2627.64
cooperative_flock,5235.75,100.0,16.83,5218.92
cooperative_flock,2969.1,100.0,134.01,2835.09
cooperative_flock,3067.65,100.0,16.56,3051.09
cooperative_flock,2944.71,100.0,19.53,2925.18
cooperative_flock,4473.09,100.0,34.74,4438.35
cooperative_flock,2914.2,100.0,16.38,2897.82
cooperative_flock,2679.66,100.0,16.83,2662.83
cooperative_flock,5488.02,100.0,1150.2,4337.82
cooperative_flock,2274.66,100.0,16.2,2258.46
cooperative_flock,3309.75,100.0,16.47,3293.28
cooperative_flock,2526.84,100.0,16.47,2510.37
cooperative_flock,2427.75,100.0,16.92,2410.83
cooperative_flock,2203.2,100.0,16.38,2186.82
cooperative_flock,9250.29,100.0,4624.56,4625.73
cooperative_flock,2814.39,100.0,16.11,2798.28
cooperative_flock,2446.47,100.0,16.29,2430.18
cooperative_flock,2437.2,100.0,16.2,2421.0
cooperative_flock,3733.2,100.0,16.11,3717.09
cooperative_flock,2349.18,100.0,17.19,2331.99
cooperative_flock,1899.09,100.0,16.92,1882.17
cooperative_flock,2239.47,100.0,16.47,2223.0
cooperative_flock,4472.64,100.0,17.55,4455.09
cooperative_flock,3987.18,100.0,2430.18,1557.0
cooperative_flock,3258.18,100.0,17.19,3240.99
cooperative_flock,3366.09,100.0,17.28,3348.81
cooperative_flock,3409.56,100.0,16.47,3393.09
cooperative_flock,2743.02,100.0,16.83,2726.19
cooperative_flock,1962.18,100.0,17.28,1944.9
cooperative_flock,2383.56,100.0,16.38,2367.18
cooperative_flock,1834.2,100.0,16.2,1818.0
cooperative_flock,3832.38,100.0,16.2,3816.18
cooperative_flock,2355.93,100.0,15.75,2340.18
cooperative_flock,2898.09,100.0,17.1,2880.99
cooperative_flock,2987.19,100.0,17.1,2970.09
cooperative_flock,3418.83,100.0,16.74,3402.09
cooperative_flock,2952.27,100.0,16.92,2935.35
cooperative_flock,1701.18,100.0,17.19,1683.99
cooperative_flock,10447.2,100.0,3093.75,7353.45
cooperative_flock,2510.73,100.0,214.83,2295.9
cooperative_flock,3544.2,100.0,16.11,3528.09
cooperative_flock,2196.18,100.0,17.1,2179.08
cooperative_flock,1942.11,100.0,16.02,1926.09
cooperative_flock,2827.44,100.0,19.44,2808.0
cooperative_flock,2365.74,100.0,16.65,2349.09
cooperative_flock,3004.29,100.0,16.47,2987.82
cooperative_flock,2022.57,100.0,15.57,2007.0
cooperative_flock,1827.18,100.0,17.73,1809.45
cooperative_flock,3004.74,100.0,16.65,2988.09
cooperative_flock,2439.18,100.0,17.1,2422.08
cooperative_flock,3888.09,100.0,503.01,3385.08
cooperative_flock,2133.18,100.0,18.18,2115.0
cooperative_flock,2907.09,100.0,17.28,2889.81
cooperative_flock,4158.18,100.0,17.19,4140.99
cooperative_flock,1926.18,100.0,16.83,1909.35
cooperative_flock,6163.29,100.0,628.2,5535.09
cooperative_flock,4300.38,100.0,1636.11,2664.27
cooperative_flock,10546.56,100.0,4597.38,5949.18
cooperative_flock,2142.09,100.0,17.37,2124.72
cooperative_flock,11221.83,100.0,5371.65,5850.18
cooperative_flock,2313.18,100.0,17.46,2295.72
cooperative_flock,2637.09,100.0,17.19,2619.9
cooperative_flock,3176.46,100.0,404.37,2772.09
cooperative_flock,4049.46,100.0,17.28,4032.18
cooperative_flock,1672.11,100.0,16.11,1656.0
cooperative_flock,2565.18,100.0,17.1,2548.08
cooperative_flock,2680.74,100.0,16.74,2664.0
cooperative_flock,1870.65,100.0,16.65,1854.0
cooperative_flock,2700.09,100.0,17.19,2682.9
cooperative_flock,2114.1,100.0,17.1,2097.0
cooperative_flock,3264.84,100.0,16.56,3248.28
cooperative_flock,2230.02,100.0,16.47,2213.55
cooperative_flock,15261.75,100.0,10141.65,5120.1
cooperative_flock,1908.09,100.0,16.92,1891.17
cooperative_flock,9817.38,100.0,6199.11,3618.27
cooperative_flock,3661.47,100.0,16.38,3645.09
cooperative_flock,2574.18,100.0,17.19,2556.99
cooperative_flock,1962.18,100.0,16.74,1945.44
cooperative_flock,2581.38,100.0,16.29,2565.09
cooperative_flock,3130.11,100.0,16.83,3113.28
cooperative_flock,5424.84,100.0,16.11,5408.73
cooperative_flock,3492.27,100.0,269.01,3223.26
cooperative_flock,3006.09,100.0,17.46,2988.63
cooperative_flock,2041.56,100.0,16.47,2025.09
cooperative_flock,6775.38,100.0,4678.2,2097.18
cooperative_flock,5094.18,100.0,862.83,4231.35
cooperative_flock,3779.1,100.0,17.1,3762.0
cooperative_flock,2805.48,100.0,16.38,2789.1
cooperative_flock,5598.09,100.0,26.37,5571.72
cooperative_flock,2061.18,100.0,16.83,2044.35
cooperative_flock,2340.18,100.0,17.55,2322.63
cooperative_flock,2123.82,100.0,17.37,2106.45
lone_sheep,11545.02,100.0,9780.84,1764.18
lone_sheep,6549.75,100.0,4281.57,2268.18
lone_sheep,12618.18,100.0,5759.73,6858.45
lone_sheep,12058.2,100.0,8898.66,3159.54
lone_sheep,9162.18,100.0,7335.09,1827.09
lone_sheep,10458.09,100.0,8514.0,1944.09
lone_sheep,7595.46,100.0,4463.28,3132.18
lone_sheep,9000.09,100.0,7154.82,1845.27
lone_sheep,11097.09,100.0,5174.28,5922.81
lone_sheep,8242.65,100.0,4894.65,3348.0
lone_sheep,13653.18,100.0,11285.91,2367.27
lone_sheep,8108.28,100.0,5786.19,2322.09
lone_sheep,11607.3,100.0,8781.03,2826.27
lone_sheep,12753.18,100.0,11898.27,854.91
lone_sheep,9610.47,100.0,7450.47,2160.0
lone_sheep,10870.38,100.0,6216.75,4653.63
lone_sheep,9000.09,100.0,6957.0,2043.09
lone_sheep,11932.47,100.0,11248.47,684.0
lone_sheep,11401.56,100.0,6010.29,5391.27
lone_sheep,11122.11,100.0,8529.39,2592.72
lone_sheep,9971.55,100.0,8567.55,1404.0
lone_sheep,14821.74,100.0,8107.38,6714.36
lone_sheep,12390.75,100.0,8502.66,3888.09
lone_sheep,13707.09,100.0,12384.0,1323.09
lone_sheep,12222.18,100.0,9621.0,2601.18
lone_sheep,7387.65,100.0,3085.29,4302.36
lone_sheep,16954.11,100.0,16188.93,765.18
lone_sheep,10512.18,100.0,5732.91,4779.27
lone_sheep,9918.27,100.0,5328.0,4590.27
lone_sheep,12996.09,100.0,11411.91,1584.18
lone_sheep,8377.02,100.0,6684.93,1692.09
lone_sheep,11203.83,100.0,7738.47,3465.36
lone_sheep,11717.37,100.0,6443.28,5274.09
lone_sheep,13470.75,100.0,5514.84,7955.91
lone_sheep,9873.09,100.0,9233.82,639.27
