Testtype,Gjetetid,Suksessrate,Oppsamlingstid,Drivetid
cooperative_flock,50.01,0.0,0.41,49.6
cooperative_flock,50.0,0.0,0.19,49.81
cooperative_flock,50.1,0.0,0.19,49.91
cooperative_flock,50.1,0.0,0.19,49.91
cooperative_flock,50.0,0.0,0.19,49.82
cooperative_flock,44.4,100.0,0.18,44.22
cooperative_flock,15.59,100.0,0.19,15.4
cooperative_flock,50.1,0.0,0.19,49.91
cooperative_flock,50.07,0.0,0.17,49.9
cooperative_flock,21.21,100.0,0.21,21.0
cooperative_flock,50.08,0.0,0.19,49.9
cooperative_flock,50.1,0.0,0.19,49.91
cooperative_flock,50.1,0.0,0.19,49.91
cooperative_flock,50.08,0.0,0.18,49.9
cooperative_flock,50.08,0.0,0.18,49.9
cooperative_flock,50.07,0.0,0.18,49.89
cooperative_flock,17.8,100.0,0.19,17.61
cooperative_flock,50.1,0.0,0.19,49.91
cooperative_flock,50.1,0.0,0.18,49.92
cooperative_flock,50.08,0.0,0.18,49.9
cooperative_flock,50.04,0.0,0.24,49.8
cooperative_flock,50.1,0.0,0.19,49.91
cooperative_flock,50.09,0.0,0.19,49.9
cooperative_flock,50.08,0.0,4.08,46.0
cooperative_flock,17.29,100.0,0.2,17.09
cooperative_flock,50.1,0.0,0.2,49.9
cooperative_flock,50.1,0.0,0.19,49.91
cooperative_flock,50.09,0.0,25.68,24.41
cooperative_flock,50.08,0.0,0.18,49.9
cooperative_flock,50.08,0.0,0.18,49.89
cooperative_flock,50.1,0.0,0.19,49.91
cooperative_flock,50.1,0.0,0.2,49.9
cooperative_flock,33.0,100.0,0.2,32.81
cooperative_flock,50.08,0.0,0.18,49.9
cooperative_flock,50.1,0.0,0.19,49.91
cooperative_flock,50.0,0.0,0.19,49.81
cooperative_flock,50.08,0.0,5.28,44.8
cooperative_flock,32.28,100.0,0.18,32.1
cooperative_flock,50.09,0.0,0.19,49.9
cooperative_flock,50.1,0.0,0.2,49.9
cooperative_flock,50.1,0.0,0.19,49.91
cooperative_flock,50.08,0.0,0.18,49.9
cooperative_flock,50.1,0.0,0.19,49.92
cooperative_flock,50.07,0.0,0.18,49.89
cooperative_flock,50.1,0.0,0.19,49.91
cooperative_flock,50.0,0.0,0.18,49.82
cooperative_flock,50.1,0.0,0.2,49.9
cooperative_flock,50.09,0.0,0.19,49.9
cooperative_flock,50.08,0.0,0.18,49.9
cooperative_flock,16.28,100.0,0.18,16.1
cooperative_flock,50.1,0.0,0.19,49.91
cooperative_flock,50.1,0.0,0.2,49.9
cooperative_flock,50.1,0.0,0.19,49.91
cooperative_flock,46.7,100.0,0.19,46.51
cooperative_flock,50.1,0.0,0.2,49.9
cooperative_flock,50.09,0.0,0.18,49.91
cooperative_flock,50.1,0.0,0.19,49.91
cooperative_flock,50.09,0.0,0.18,49.91
cooperative_flock,50.1,0.0,0.19,49.91
cooperative_flock,50.09,0.0,0.19,49.9
cooperative_flock,50.1,0.0,0.21,49.89
cooperative_flock,50.1,0.0,19.99,30.11
cooperative_flock,17.1,100.0,0.19,16.91
cooperative_flock,50.0,0.0,0.19,49.81
cooperative_flock,28.11,100.0,0.21,27.9
cooperative_flock,50.1,0.0,0.19,49.91
cooperative_flock,50.07,0.0,0.17,49.9
cooperative_flock,50.08,0.0,0.18,49.9
cooperative_flock,50.1,0.0,0.18,49.92
cooperative_flock,50.08,0.0,9.09,41.0
cooperative_flock,50.1,0.0,0.19,49.91
cooperative_flock,50.0,20.0,0.19,49.81
cooperative_flock,50.1,0.0,0.19,49.91
cooperative_flock,50.1,0.0,0.19,49.91
cooperative_flock,50.1,0.0,0.19,49.91
cooperative_flock,50.07,0.0,0.18,49.88
cooperative_flock,50.07,0.0,0.18,49.89
cooperative_flock,50.1,0.0,0.2,49.91
cooperative_flock,50.08,0.0,0.18,49.9
cooperative_flock,50.08,0.0,0.18,49.9
cooperative_flock,43.8,100.0,0.19,43.65
cooperative_flock,50.07,0.0,0.18,49.89
cooperative_flock,50.08,0.0,0.18,49.9
cooperative_flock,50.07,0.0,0.18,49.89
cooperative_flock,50.1,0.0,0.19,49.91
cooperative_flock,36.2,100.0,0.19,36.01
cooperative_flock,50.0,0.0,0.19,49.81
cooperative_flock,50.1,0.0,0.19,49.9
cooperative_flock,50.07,0.0,0.18,49.89
cooperative_flock,50.08,0.0,0.18,49.9
cooperative_flock,50.07,0.0,0.18,49.89
cooperative_flock,50.07,0.0,0.18,49.89
cooperative_flock,23.37,100.0,0.18,23.19
cooperative_flock,50.07,0.0,0.18,49.89
cooperative_flock,50.08,0.0,0.18,49.9
cooperative_flock,50.08,0.0,0.18,49.9
cooperative_flock,50.0,0.0,0.2,49.81
cooperative_flock,50.1,0.0,0.18,49.92
cooperative_flock,50.08,0.0,0.18,49.9
cooperative_flock,50.08,0.0,0.19,49.89
divided_flock,50.1,0.0,17.7,32.4
divided_flock,50.01,0.0,6.11,43.9
divided_flock,50.0,0.0,6.1,43.9
divided_flock,50.07,0.0,9.88,40.2
divided_flock,50.1,0.0,19.0,31.1
divided_flock,50.0,0.0,11.9,38.1
divided_flock,50.01,0.0,15.41,34.6
divided_flock,50.08,0.0,6.28,43.8
divided_flock,50.07,0.0,5.98,44.1
divided_flock,50.1,0.0,8.2,41.9
divided_flock,40.18,100.0,13.98,26.2
divided_flock,50.0,0.0,32.4,17.61
divided_flock,50.09,0.0,7.88,42.2
divided_flock,50.02,0.0,6.42,43.6
