Testtype,Gjetetid,Suksessrate,Oppsamlingstid,Drivetid
cooperative_flock,15.79,100.0,0.19,15.63
cooperative_flock,15.59,100.0,0.19,15.4
cooperative_flock,15.6,100.0,0.2,15.4
cooperative_flock,15.88,100.0,0.18,15.7
cooperative_flock,15.68,100.0,0.18,15.5
cooperative_flock,15.68,100.0,0.18,15.5
cooperative_flock,15.39,100.0,0.19,15.2
cooperative_flock,15.58,100.0,0.18,15.4
cooperative_flock,15.79,100.0,0.18,15.6
cooperative_flock,15.5,100.0,0.19,15.31
cooperative_flock,15.7,100.0,0.21,15.5
cooperative_flock,15.6,100.0,0.19,15.41
cooperative_flock,15.7,100.0,0.19,15.51
cooperative_flock,15.9,100.0,0.19,15.71
cooperative_flock,15.38,100.0,0.18,15.2
cooperative_flock,16.12,100.0,0.23,15.9
cooperative_flock,16.1,100.0,0.19,15.91
cooperative_flock,15.48,100.0,0.18,15.3
cooperative_flock,15.57,100.0,0.18,15.39
cooperative_flock,15.7,100.0,0.19,15.51
cooperative_flock,16.0,100.0,0.18,15.85
cooperative_flock,15.2,100.0,0.19,15.01
cooperative_flock,15.69,100.0,0.19,15.5
cooperative_flock,15.6,100.0,0.19,15.41
cooperative_flock,15.7,100.0,0.2,15.51
cooperative_flock,15.37,100.0,0.18,15.2
cooperative_flock,15.9,100.0,0.19,15.71
cooperative_flock,15.8,100.0,0.19,15.62
cooperative_flock,15.68,100.0,0.18,15.5
cooperative_flock,15.59,100.0,0.19,15.4
cooperative_flock,15.68,100.0,0.19,15.5
cooperative_flock,15.68,100.0,0.18,15.5
cooperative_flock,15.7,100.0,0.2,15.5
cooperative_flock,16.18,100.0,0.18,16.0
cooperative_flock,16.0,100.0,0.19,15.81
cooperative_flock,15.58,100.0,0.18,15.4
cooperative_flock,15.87,100.0,0.19,15.69
cooperative_flock,15.68,100.0,0.19,15.49
cooperative_flock,15.7,100.0,0.2,15.51
cooperative_flock,15.28,100.0,0.18,15.1
cooperative_flock,15.8,100.0,0.18,15.65
cooperative_flock,15.77,100.0,0.18,15.59
cooperative_flock,15.49,100.0,0.19,15.31
cooperative_flock,15.8,100.0,0.19,15.61
cooperative_flock,15.7,100.0,0.19,15.52
cooperative_flock,15.49,100.0,0.19,15.3
cooperative_flock,15.6,100.0,0.19,15.41
cooperative_flock,15.68,100.0,0.18,15.5
cooperative_flock,15.78,100.0,0.18,15.6
cooperative_flock,15.69,100.0,0.19,15.51
cooperative_flock,15.8,100.0,0.19,15.61
cooperative_flock,15.58,100.0,0.18,15.4
cooperative_flock,15.88,100.0,0.18,15.7
cooperative_flock,15.58,100.0,0.18,15.4
cooperative_flock,15.48,100.0,0.18,15.3
cooperative_flock,15.67,100.0,0.18,15.49
cooperative_flock,15.78,100.0,0.18,15.6
cooperative_flock,15.68,100.0,0.18,15.5
cooperative_flock,15.6,100.0,0.19,15.41
cooperative_flock,15.7,100.0,0.19,15.51
cooperative_flock,15.71,100.0,0.21,15.54
cooperative_flock,15.69,100.0,0.19,15.5
cooperative_flock,15.58,100.0,0.18,15.4
cooperative_flock,15.9,100.0,0.2,15.7
cooperative_flock,15.88,100.0,0.18,15.7
