Testtype,Gjetetid,Suksessrate,Oppsamlingstid,Drivetid
cooperative_flock,50.01,0.0,13.51,36.5
cooperative_flock,50.0,0.0,2.12,47.89
cooperative_flock,22.17,100.0,0.17,22.0
cooperative_flock,50.1,0.0,0.19,49.91
cooperative_flock,36.4,100.0,0.39,36.01
cooperative_flock,50.08,0.0,7.78,42.3
cooperative_flock,35.9,100.0,4.29,31.61
cooperative_flock,50.08,0.0,1.58,48.5
cooperative_flock,27.61,100.0,0.21,27.4
cooperative_flock,21.78,100.0,0.18,21.6
cooperative_flock,50.08,0.0,2.28,47.8
cooperative_flock,25.3,100.0,0.19,25.11
cooperative_flock,50.08,0.0,0.28,49.8
cooperative_flock,48.99,100.0,0.19,48.8
cooperative_flock,50.08,0.0,0.18,49.9
cooperative_flock,46.1,100.0,2.99,43.11
cooperative_flock,50.1,0.0,0.18,49.92
cooperative_flock,50.1,0.0,8.69,41.41
cooperative_flock,50.1,0.0,1.8,48.3
cooperative_flock,26.4,100.0,0.19,26.21
cooperative_flock,50.08,0.0,2.08,48.0
cooperative_flock,50.08,0.0,10.98,39.1
cooperative_flock,39.28,100.0,0.29,38.99
cooperative_flock,28.0,100.0,2.6,25.41
cooperative_flock,18.5,100.0,0.19,18.31
cooperative_flock,50.08,0.0,24.28,25.8
cooperative_flock,50.08,0.0,13.98,36.1
cooperative_flock,50.08,0.0,5.77,44.31
cooperative_flock,50.08,0.0,0.18,49.9
cooperative_flock,50.08,0.0,3.38,46.7
cooperative_flock,50.1,0.0,9.79,40.31
cooperative_flock,25.2,100.0,0.2,25.01
cooperative_flock,22.48,100.0,0.18,22.3
cooperative_flock,50.08,0.0,0.18,49.9
cooperative_flock,39.78,100.0,0.28,39.5
cooperative_flock,23.39,100.0,0.19,23.2
cooperative_flock,22.3,100.0,0.2,22.1
cooperative_flock,42.8,100.0,0.18,42.62
cooperative_flock,48.08,100.0,7.18,40.9
cooperative_flock,50.1,0.0,0.19,49.91
cooperative_flock,49.88,100.0,0.67,49.2
cooperative_flock,26.49,100.0,0.19,26.3
cooperative_flock,50.1,0.0,13.1,37.01
cooperative_flock,23.08,100.0,0.18,22.9
cooperative_flock,50.07,0.0,5.97,44.1
cooperative_flock,18.68,100.0,0.18,18.5
cooperative_flock,28.2,100.0,0.19,28.01
cooperative_flock,21.59,100.0,0.19,21.4
cooperative_flock,50.09,0.0,8.88,41.2
cooperative_flock,50.08,0.0,0.18,49.9
cooperative_flock,30.58,100.0,2.28,28.3
cooperative_flock,34.58,100.0,0.18,34.4
cooperative_flock,50.1,0.0,0.39,49.71
cooperative_flock,50.08,0.0,31.68,18.4
cooperative_flock,50.1,0.0,5.09,45.01
cooperative_flock,21.8,100.0,0.19,21.61
cooperative_flock,50.08,0.0,13.68,36.4
cooperative_flock,50.1,0.0,0.19,49.91
cooperative_flock,20.39,100.0,0.18,20.2
cooperative_flock,43.7,100.0,3.79,39.91
cooperative_flock,50.1,0.0,34.49,15.61
cooperative_flock,50.1,0.0,6.49,43.62
cooperative_flock,39.07,100.0,1.48,37.6
cooperative_flock,21.9,100.0,0.2,21.7
cooperative_flock,50.08,0.0,3.78,46.3
cooperative_flock,50.1,0.0,18.8,31.31
cooperative_flock,50.08,0.0,3.77,46.31
cooperative_flock,35.2,100.0,0.19,35.01
cooperative_flock,31.3,100.0,0.19,31.11
cooperative_flock,27.5,100.0,0.19,27.31
cooperative_flock,50.09,0.0,3.29,46.8
cooperative_flock,50.08,0.0,10.78,39.3
cooperative_flock,50.08,0.0,2.98,47.1
cooperative_flock,41.47,100.0,0.17,41.3
cooperative_flock,45.28,100.0,0.18,45.1
cooperative_flock,21.1,100.0,0.19,20.91
cooperative_flock,50.1,0.0,0.2,49.91
cooperative_flock,21.69,100.0,0.19,21.5
cooperative_flock,22.6,100.0,0.19,22.41
cooperative_flock,27.7,100.0,0.19,27.51
cooperative_flock,35.6,100.0,0.2,35.44
cooperative_flock,22.6,100.0,0.19,22.41
cooperative_flock,50.1,0.0,8.29,41.81
cooperative_flock,32.28,100.0,0.18,32.1
cooperative_flock,50.08,0.0,0.98,49.1
cooperative_flock,50.1,0.0,5.19,44.91
cooperative_flock,50.1,0.0,3.99,46.11
cooperative_flock,50.09,0.0,0.68,49.41
cooperative_flock,31.08,100.0,3.18,27.9
cooperative_flock,50.08,0.0,0.18,49.9
cooperative_flock,50.08,0.0,1.47,48.6
cooperative_flock,27.68,100.0,0.18,27.5
cooperative_flock,50.08,0.0,8.48,41.6
cooperative_flock,50.08,0.0,0.18,49.9
cooperative_flock,36.98,100.0,0.18,36.8
cooperative_flock,23.58,100.0,0.18,23.4
cooperative_flock,50.08,0.0,0.18,49.9
cooperative_flock,50.08,0.0,34.38,15.7
cooperative_flock,32.8,100.0,0.19,32.61
cooperative_flock,50.1,0.0,0.19,49.91
divided_flock,50.1,0.0,0.0,50.1
divided_flock,50.09,0.0,0.0,50.09
divided_flock,50.1,0.0,0.0,50.1
divided_flock,50.1,0.0,0.0,50.1
divided_flock,50.08,0.0,0.0,50.08
divided_flock,50.09,0.0,0.0,50.09
divided_flock,50.07,0.0,0.0,50.07
divided_flock,50.1,0.0,0.0,50.1
divided_flock,50.1,0.0,0.0,50.1
divided_flock,50.09,0.0,0.0,50.1
divided_flock,50.08,0.0,0.0,50.08
divided_flock,50.09,0.0,0.0,50.09
divided_flock,50.03,0.0,43.53,6.5
divided_flock,50.08,0.0,0.0,50.08
divided_flock,50.08,0.0,0.0,50.08
divided_flock,50.09,0.0,0.0,50.09
divided_flock,50.07,0.0,0.0,50.07
divided_flock,50.05,0.0,0.0,50.05
divided_flock,50.08,0.0,0.0,50.08
divided_flock,50.1,0.0,37.3,12.8
divided_flock,50.1,0.0,0.0,50.1
divided_flock,50.02,0.0,28.92,21.1
divided_flock,50.02,0.0,0.0,50.02
divided_flock,50.0,0.0,0.0,50.01
divided_flock,50.08,0.0,41.78,8.3
divided_flock,50.1,0.0,0.0,50.1
divided_flock,50.1,0.0,48.0,2.1
divided_flock,50.0,0.0,0.0,50.0
divided_flock,50.09,0.0,0.0,50.09
divided_flock,50.1,0.0,0.0,50.1
divided_flock,50.08,0.0,0.0,50.08
divided_flock,50.1,0.0,0.0,50.1
divided_flock,50.1,0.0,40.3,9.8
divided_flock,50.1,0.0,0.0,50.1
divided_flock,50.1,0.0,40.9,9.2
divided_flock,50.1,0.0,40.7,9.4
divided_flock,50.08,0.0,0.0,50.08
divided_flock,50.0,0.0,0.0,50.0
divided_flock,50.1,0.0,0.0,50.1
divided_flock,50.0,0.0,0.0,50.0
divided_flock,50.01,0.0,0.0,50.01
divided_flock,50.1,0.0,0.0,50.1
divided_flock,50.1,0.0,0.0,50.1
divided_flock,50.07,0.0,0.0,50.07
divided_flock,50.07,0.0,0.0,50.07
divided_flock,50.08,0.0,30.08,20.0
divided_flock,50.1,0.0,0.0,50.1
divided_flock,50.08,0.0,0.0,50.08
divided_flock,50.1,0.0,0.0,50.1
divided_flock,50.09,0.0,0.0,50.09
divided_flock,50.07,0.0,0.0,50.07
divided_flock,50.1,0.0,42.4,7.7
divided_flock,50.1,0.0,0.0,50.1
divided_flock,50.1,0.0,0.0,50.1
divided_flock,50.08,0.0,0.0,50.08
divided_flock,50.1,0.0,0.0,50.1
divided_flock,50.09,0.0,0.0,50.09
divided_flock,50.08,0.0,0.0,50.09
divided_flock,50.1,0.0,0.0,50.1
divided_flock,50.08,0.0,0.0,50.08
divided_flock,50.08,0.0,0.0,50.08
divided_flock,50.1,0.0,0.0,50.1
divided_flock,50.1,0.0,0.0,50.1
divided_flock,50.08,0.0,0.0,50.09
divided_flock,50.09,0.0,33.9,16.2
divided_flock,50.1,0.0,0.0,50.1
divided_flock,50.1,0.0,0.0,50.1
divided_flock,50.1,0.0,0.0,50.1
divided_flock,50.1,0.0,0.0,50.1
divided_flock,50.07,0.0,0.0,50.07
divided_flock,50.0,0.0,0.0,50.0
divided_flock,50.08,0.0,0.0,50.08
divided_flock,50.08,0.0,0.0,50.08
divided_flock,50.08,0.0,0.0,50.08
divided_flock,50.08,0.0,0.0,50.08
divided_flock,50.07,0.0,32.37,17.7
divided_flock,50.08,0.0,45.58,4.5
divided_flock,50.07,0.0,0.0,50.07
divided_flock,50.1,0.0,0.0,50.1
divided_flock,50.08,0.0,0.0,50.09
divided_flock,50.1,0.0,49.8,0.3
divided_flock,50.09,0.0,34.59,15.5
divided_flock,50.08,0.0,0.0,50.08
divided_flock,50.08,0.0,0.0,50.08
divided_flock,50.1,0.0,0.0,50.1
divided_flock,50.1,0.0,0.0,50.1
divided_flock,50.08,0.0,0.0,50.08
divided_flock,50.09,0.0,0.0,50.09
divided_flock,50.1,0.0,0.0,50.1
divided_flock,50.1,0.0,0.0,50.1
divided_flock,50.1,0.0,0.0,50.1
divided_flock,50.08,0.0,0.0,50.08
divided_flock,50.09,0.0,0.0,50.09
divided_flock,50.09,0.0,0.0,50.09
divided_flock,50.1,0.0,0.0,50.1
divided_flock,50.0,0.0,0.0,50.0
divided_flock,50.07,0.0,0.0,50.07
divided_flock,50.09,0.0,0.0,50.09
divided_flock,50.1,0.0,0.0,50.1
divided_flock,50.1,0.0,0.0,50.1
lone_sheep,50.09,0.0,0.0,50.09
lone_sheep,50.09,0.0,24.68,25.4
lone_sheep,50.1,0.0,15.4,34.7
lone_sheep,50.0,0.0,43.5,6.5
lone_sheep,50.1,0.0,44.9,5.2
lone_sheep,50.09,0.0,24.49,25.6
lone_sheep,50.05,0.0,0.0,50.06
lone_sheep,50.1,0.0,0.0,50.1
lone_sheep,50.1,0.0,0.0,50.1
lone_sheep,50.08,0.0,33.88,16.2
lone_sheep,50.1,0.0,38.0,12.1
lone_sheep,50.1,0.0,0.0,50.1
lone_sheep,50.1,0.0,31.59,18.51
lone_sheep,50.09,0.0,42.69,7.4
lone_sheep,50.08,0.0,0.0,50.08
lone_sheep,50.08,0.0,0.0,50.08
lone_sheep,50.1,0.0,39.1,11.0
lone_sheep,50.07,0.0,26.37,23.7
lone_sheep,50.1,0.0,0.0,50.1
lone_sheep,50.1,0.0,0.0,50.1
lone_sheep,50.09,0.0,0.0,50.09
lone_sheep,50.1,0.0,0.0,50.1
lone_sheep,50.1,0.0,0.0,50.1
lone_sheep,50.08,0.0,0.0,50.08
lone_sheep,50.1,0.0,0.0,50.1
lone_sheep,50.08,0.0,0.0,50.09
lone_sheep,49.67,100.0,28.88,20.8
lone_sheep,50.09,0.0,19.99,30.1
lone_sheep,50.1,0.0,0.0,50.1
lone_sheep,50.1,0.0,0.0,50.1
lone_sheep,50.1,0.0,36.0,14.1
lone_sheep,50.08,0.0,30.08,20.0
lone_sheep,50.1,0.0,0.0,50.1
lone_sheep,50.1,0.0,48.9,1.2
lone_sheep,50.1,0.0,39.2,10.9
lone_sheep,50.0,0.0,0.0,50.0
lone_sheep,50.1,0.0,0.0,50.1
lone_sheep,50.1,0.0,0.0,50.1
lone_sheep,50.09,0.0,15.79,34.3
lone_sheep,50.1,0.0,25.8,24.3
lone_sheep,50.1,0.0,12.41,37.7
lone_sheep,50.1,0.0,15.3,34.8
lone_sheep,50.1,0.0,45.9,4.2
lone_sheep,50.1,0.0,19.58,30.52
lone_sheep,50.08,0.0,0.0,50.08
lone_sheep,50.08,0.0,0.0,50.08
lone_sheep,50.08,0.0,0.0,50.08
lone_sheep,50.08,0.0,49.98,0.1
lone_sheep,50.1,0.0,0.0,50.1
lone_sheep,50.08,0.0,0.0,50.08
lone_sheep,50.08,0.0,48.09,2.0
lone_sheep,50.08,0.0,25.58,24.5
lone_sheep,50.1,0.0,29.6,20.5
lone_sheep,50.08,0.0,17.08,33.0
lone_sheep,50.09,0.0,39.89,10.2
lone_sheep,50.07,0.0,39.07,11.0
lone_sheep,50.1,0.0,0.0,50.1
lone_sheep,50.08,0.0,0.0,50.08
lone_sheep,50.08,0.0,32.28,17.8
lone_sheep,50.1,0.0,0.0,50.1
lone_sheep,50.09,0.0,0.0,50.09
lone_sheep,50.08,0.0,26.58,23.5
lone_sheep,50.08,0.0,0.0,50.08
lone_sheep,50.07,0.0,0.0,50.07
lone_sheep,50.0,0.0,25.2,24.8
lone_sheep,50.08,0.0,0.0,50.08
lone_sheep,50.08,0.0,31.68,18.4
lone_sheep,50.1,0.0,24.29,25.81
lone_sheep,50.08,0.0,0.0,50.08
lone_sheep,50.09,0.0,26.09,24.0
lone_sheep,50.1,0.0,16.68,33.42
lone_sheep,50.1,0.0,0.0,50.1
lone_sheep,50.0,0.0,0.0,50.0
lone_sheep,50.07,0.0,31.37,18.7
lone_sheep,50.08,0.0,0.0,50.08
lone_sheep,50.1,0.0,15.2,34.91
lone_sheep,50.08,0.0,0.0,50.08
lone_sheep,50.1,0.0,0.0,50.1
lone_sheep,50.08,0.0,0.0,50.08
lone_sheep,50.1,0.0,39.3,10.8
lone_sheep,50.1,0.0,0.0,50.1
lone_sheep,50.1,0.0,0.0,50.1
lone_sheep,50.08,0.0,32.48,17.6
lone_sheep,50.08,0.0,0.0,50.08
lone_sheep,50.1,0.0,21.6,28.5
lone_sheep,50.08,0.0,14.48,35.6
lone_sheep,50.1,0.0,0.0,50.1
lone_sheep,50.1,0.0,0.0,50.1
lone_sheep,50.1,0.0,0.0,50.1
lone_sheep,50.08,0.0,0.0,50.08
lone_sheep,50.0,0.0,0.0,50.0
lone_sheep,50.1,0.0,0.0,50.1
lone_sheep,50.08,0.0,39.18,10.9
lone_sheep,50.0,0.0,0.0,50.0
lone_sheep,50.1,0.0,42.8,7.3
lone_sheep,50.08,0.0,0.0,50.08
lone_sheep,50.08,0.0,0.0,50.08
lone_sheep,50.07,0.0,47.87,2.2
lone_sheep,50.01,0.0,0.0,50.01
lone_sheep,50.1,0.0,8.8,41.3
right_angle,50.09,0.0,7.49,42.6
right_angle,44.38,100.0,0.18,44.2
right_angle,50.09,0.0,26.48,23.6
right_angle,50.1,0.0,8.19,41.91
right_angle,50.08,0.0,0.18,49.9
right_angle,35.29,100.0,0.19,35.1
right_angle,50.1,0.0,6.19,43.91
right_angle,30.38,100.0,0.18,30.2
right_angle,50.08,0.0,7.28,42.8
right_angle,50.08,0.0,13.48,36.6
right_angle,47.08,100.0,0.18,46.9
right_angle,50.09,0.0,26.89,23.2
right_angle,50.07,0.0,3.58,46.49
right_angle,32.1,100.0,0.19,31.91
right_angle,46.98,100.0,0.18,46.8
right_angle,50.1,0.0,4.09,46.01
right_angle,32.19,100.0,0.19,32.0
right_angle,48.5,100.0,0.4,48.1
right_angle,50.1,0.0,0.19,49.91
right_angle,50.0,0.0,13.8,36.21
right_angle,40.19,100.0,0.19,40.04
right_angle,47.58,100.0,0.18,47.4
right_angle,39.9,100.0,0.2,39.71
right_angle,50.09,0.0,29.89,20.2
right_angle,50.1,40.0,0.19,49.91
right_angle,50.1,0.0,0.19,49.92
right_angle,50.1,0.0,4.79,45.31
right_angle,50.1,0.0,0.19,49.91
right_angle,30.3,100.0,0.19,30.11
right_angle,39.1,100.0,0.19,38.91
right_angle,50.02,0.0,2.42,47.6
right_angle,50.1,0.0,1.59,48.51
right_angle,50.08,0.0,1.29,48.79
right_angle,50.07,0.0,11.98,38.09
right_angle,50.1,0.0,8.59,41.51
right_angle,50.08,0.0,9.48,40.6
right_angle,50.08,0.0,3.88,46.2
right_angle,39.69,100.0,0.18,39.5
right_angle,50.08,0.0,0.38,49.7
right_angle,50.1,0.0,15.09,35.01
right_angle,50.08,0.0,10.18,39.9
right_angle,50.1,0.0,2.39,47.72
right_angle,50.08,0.0,5.78,44.3
right_angle,50.1,0.0,0.2,49.9
right_angle,50.08,0.0,0.18,49.9
right_angle,50.1,0.0,22.49,27.61
right_angle,50.1,0.0,8.69,41.41
right_angle,50.02,0.0,17.92,32.1
right_angle,50.0,0.0,0.3,49.7
right_angle,50.1,0.0,17.8,32.3
right_angle,50.08,0.0,4.48,45.6
right_angle,50.08,0.0,0.18,49.9
right_angle,37.79,100.0,0.19,37.6
right_angle,50.1,0.0,6.78,43.32
right_angle,50.1,0.0,11.59,38.51
right_angle,50.08,0.0,16.38,33.7
right_angle,50.1,0.0,20.6,29.5
right_angle,50.1,0.0,0.59,49.51
right_angle,34.5,100.0,0.2,34.3
right_angle,50.08,20.0,0.18,49.9
right_angle,50.09,0.0,16.99,33.1
right_angle,50.1,0.0,3.19,46.91
right_angle,50.0,0.0,0.2,49.8
right_angle,43.4,100.0,0.2,43.2
right_angle,50.07,0.0,3.59,46.48
right_angle,50.1,20.0,0.19,49.91
right_angle,50.08,0.0,1.38,48.7
right_angle,50.1,0.0,8.1,42.0
right_angle,50.08,0.0,17.08,33.01
right_angle,50.09,0.0,21.99,28.1
right_angle,50.07,0.0,10.38,39.69
right_angle,50.1,0.0,14.29,35.81
right_angle,40.5,100.0,0.19,40.31
right_angle,50.1,0.0,1.4,48.7
right_angle,50.1,0.0,10.49,39.61
right_angle,50.1,0.0,0.19,49.91
right_angle,50.1,0.0,4.19,45.91
right_angle,50.09,0.0,7.68,42.41
right_angle,50.07,0.0,7.88,42.19
right_angle,40.67,100.0,0.18,40.49
right_angle,49.2,100.0,0.18,49.02
right_angle,47.6,100.0,0.19,47.41
right_angle,50.02,0.0,0.22,49.8
right_angle,50.08,0.0,33.38,16.7
right_angle,37.2,100.0,0.19,37.01
right_angle,42.09,100.0,0.19,41.91
right_angle,50.06,0.0,9.68,40.39
right_angle,50.1,0.0,12.19,37.91
right_angle,50.08,0.0,0.18,49.9
right_angle,50.08,0.0,18.88,31.2
right_angle,42.2,100.0,1.99,40.21
right_angle,50.1,0.0,0.9,49.2
right_angle,50.08,0.0,1.78,48.3
right_angle,50.1,0.0,0.6,49.5
right_angle,50.1,0.0,4.29,45.81
right_angle,50.09,0.0,13.09,37.0
right_angle,50.08,0.0,0.18,49.9
right_angle,50.1,0.0,0.19,49.91
right_angle,50.1,0.0,2.89,47.21
right_angle,50.09,0.0,15.09,35.0
