Testtype,Gjetetid,Suksessrate,Oppsamlingstid,Drivetid
cooperative_flock,16.38,100.0,0.41,16.06
cooperative_flock,15.63,100.0,0.51,15.12
cooperative_flock,15.36,100.0,0.39,14.98
cooperative_flock,15.24,100.0,0.28,14.96
cooperative_flock,15.33,100.0,0.38,14.95
cooperative_flock,15.72,100.0,0.43,15.3
cooperative_flock,15.43,100.0,0.28,15.15
cooperative_flock,15.72,100.0,0.46,15.26
cooperative_flock,15.6,100.0,0.36,15.24
cooperative_flock,15.51,100.0,0.23,15.28
cooperative_flock,15.47,100.0,0.29,15.18
cooperative_flock,15.57,100.0,0.47,15.1
cooperative_flock,15.59,100.0,0.3,15.29
cooperative_flock,15.72,100.0,0.52,15.21
cooperative_flock,15.6,100.0,0.38,15.22
cooperative_flock,15.31,100.0,0.37,14.94
cooperative_flock,15.54,100.0,0.32,15.22
cooperative_flock,15.62,100.0,0.45,15.16
cooperative_flock,15.75,100.0,0.5,15.26
cooperative_flock,15.78,100.0,0.48,15.31
cooperative_flock,16.41,100.0,0.37,16.11
cooperative_flock,15.63,100.0,0.33,15.31
cooperative_flock,15.63,100.0,0.33,15.3
cooperative_flock,15.57,100.0,0.32,15.25
cooperative_flock,15.68,100.0,0.51,15.17
cooperative_flock,15.67,100.0,0.39,15.28
cooperative_flock,15.31,100.0,0.38,14.93
cooperative_flock,15.65,100.0,0.37,15.29
cooperative_flock,15.54,100.0,0.27,15.27
cooperative_flock,15.53,100.0,0.39,15.14
cooperative_flock,15.61,100.0,0.36,15.25
cooperative_flock,15.68,100.0,0.42,15.26
cooperative_flock,15.64,100.0,0.44,15.2
cooperative_flock,15.3,100.0,0.33,14.98
cooperative_flock,15.59,100.0,0.31,15.28
cooperative_flock,15.6,100.0,0.47,15.14
cooperative_flock,15.59,100.0,0.36,15.23
cooperative_flock,15.71,100.0,0.42,15.28
cooperative_flock,15.63,100.0,0.42,15.22
cooperative_flock,15.71,100.0,0.47,15.24
cooperative_flock,16.55,100.0,0.46,16.09
cooperative_flock,15.69,100.0,0.44,15.26
cooperative_flock,15.59,100.0,0.37,15.22
cooperative_flock,15.5,100.0,0.37,15.13
cooperative_flock,15.49,100.0,0.38,15.12
cooperative_flock,15.58,100.0,0.33,15.25
cooperative_flock,15.58,100.0,0.34,15.24
cooperative_flock,15.66,100.0,0.36,15.3
cooperative_flock,15.66,100.0,0.36,15.3
cooperative_flock,15.65,100.0,0.41,15.24
cooperative_flock,15.39,100.0,0.32,15.08
cooperative_flock,15.56,100.0,0.34,15.23
cooperative_flock,15.32,100.0,0.34,14.98
cooperative_flock,15.65,100.0,0.45,15.2
cooperative_flock,15.36,100.0,0.43,14.93
cooperative_flock,15.71,100.0,0.42,15.29
cooperative_flock,15.61,100.0,0.41,15.21
cooperative_flock,15.63,100.0,0.38,15.26
cooperative_flock,15.35,100.0,0.45,14.9
cooperative_flock,15.55,100.0,0.35,15.2
cooperative_flock,16.22,100.0,0.3,15.98
cooperative_flock,15.66,100.0,0.52,15.15
cooperative_flock,15.49,100.0,0.38,15.11
cooperative_flock,15.54,100.0,0.36,15.19
cooperative_flock,15.56,100.0,0.36,15.21
cooperative_flock,15.6,100.0,0.32,15.27
cooperative_flock,15.61,100.0,0.38,15.23
cooperative_flock,15.71,100.0,0.51,15.21
cooperative_flock,15.74,100.0,0.46,15.29
cooperative_flock,15.75,100.0,0.47,15.29
cooperative_flock,15.64,100.0,0.39,15.26
cooperative_flock,15.46,100.0,0.45,15.02
cooperative_flock,15.39,100.0,0.36,15.03
cooperative_flock,15.64,100.0,0.35,15.29
cooperative_flock,15.52,100.0,0.46,15.07
cooperative_flock,15.49,100.0,0.33,15.17
cooperative_flock,15.52,100.0,0.44,15.09
cooperative_flock,15.73,100.0,0.52,15.21
cooperative_flock,15.41,100.0,0.34,15.07
cooperative_flock,15.61,100.0,0.44,15.17
cooperative_flock,16.16,100.0,0.38,15.84
cooperative_flock,15.57,100.0,0.32,15.25
cooperative_flock,15.47,100.0,0.36,15.11
cooperative_flock,15.47,100.0,0.34,15.13
cooperative_flock,15.29,100.0,0.28,15.01
cooperative_flock,15.6,100.0,0.4,15.21
cooperative_flock,15.68,100.0,0.4,15.28
cooperative_flock,15.48,100.0,0.47,15.02
cooperative_flock,15.57,100.0,0.38,15.19
cooperative_flock,15.59,100.0,0.37,15.22
cooperative_flock,15.49,100.0,0.38,15.11
cooperative_flock,15.67,100.0,0.46,15.21
cooperative_flock,15.66,100.0,0.49,15.18
cooperative_flock,15.44,100.0,0.32,15.12
cooperative_flock,15.67,100.0,0.44,15.24
cooperative_flock,15.44,100.0,0.38,15.06
cooperative_flock,15.52,100.0,0.26,15.27
cooperative_flock,15.4,100.0,0.29,15.11
cooperative_flock,15.34,100.0,0.28,15.07
cooperative_flock,15.69,100.0,0.44,15.25
divided_flock,20.58,100.0,6.6,13.99
divided_flock,20.11,100.0,7.06,13.06
divided_flock,20.52,100.0,6.45,14.08
divided_flock,22.23,100.0,6.42,15.82
divided_flock,24.19,100.0,6.14,18.05
divided_flock,22.67,100.0,6.13,16.54
divided_flock,19.97,100.0,5.7,14.27
divided_flock,20.19,100.0,6.7,13.5
divided_flock,20.73,100.0,6.61,14.13
divided_flock,23.86,100.0,6.49,17.37
divided_flock,19.03,100.0,5.5,13.53
divided_flock,20.35,100.0,8.07,12.28
divided_flock,25.86,100.0,6.65,19.21
divided_flock,19.55,100.0,5.78,13.78
divided_flock,25.98,100.0,6.97,19.01
divided_flock,20.31,100.0,7.67,12.64
divided_flock,19.34,100.0,6.68,12.67
divided_flock,25.37,100.0,6.44,18.94
divided_flock,33.2,100.0,6.3,26.9
divided_flock,24.42,100.0,6.81,17.61
divided_flock,24.58,100.0,6.98,17.61
divided_flock,20.17,100.0,6.53,13.64
divided_flock,27.08,100.0,6.36,20.72
divided_flock,24.11,100.0,6.27,17.86
divided_flock,20.13,100.0,6.23,13.9
divided_flock,19.63,100.0,6.66,12.97
divided_flock,21.11,100.0,8.42,12.69
divided_flock,20.56,100.0,7.47,13.09
divided_flock,22.3,100.0,6.32,15.99
divided_flock,19.51,100.0,7.32,12.21
divided_flock,23.48,100.0,6.11,17.38
divided_flock,23.26,100.0,6.38,16.89
divided_flock,22.63,100.0,6.43,16.2
divided_flock,21.05,100.0,6.09,14.96
divided_flock,19.73,100.0,5.8,13.93
divided_flock,19.16,100.0,5.87,13.3
divided_flock,22.64,100.0,6.42,16.22
divided_flock,19.42,100.0,6.27,13.15
divided_flock,20.11,100.0,6.5,13.61
divided_flock,19.29,100.0,6.06,13.24
divided_flock,20.49,100.0,6.89,13.65
divided_flock,19.5,100.0,6.1,13.4
divided_flock,30.03,100.0,6.68,23.35
divided_flock,22.64,100.0,6.19,16.45
divided_flock,19.06,100.0,6.1,12.99
divided_flock,26.29,100.0,6.77,19.52
divided_flock,20.05,100.0,5.99,14.05
divided_flock,18.64,100.0,6.24,12.4
divided_flock,20.01,100.0,7.41,12.61
divided_flock,19.07,100.0,5.95,13.13
divided_flock,26.52,100.0,6.12,20.4
divided_flock,21.32,100.0,6.95,14.37
divided_flock,22.11,100.0,5.78,16.33
divided_flock,25.98,100.0,6.01,19.97
divided_flock,20.61,100.0,7.99,12.62
divided_flock,20.27,100.0,6.5,13.77
divided_flock,23.77,100.0,6.57,17.19
divided_flock,26.82,100.0,6.83,19.99
divided_flock,22.88,100.0,7.66,15.22
divided_flock,19.66,100.0,5.67,13.99
divided_flock,19.04,100.0,5.77,13.28
divided_flock,21.72,100.0,7.32,14.4
divided_flock,20.24,100.0,5.64,14.61
divided_flock,21.21,100.0,7.8,13.41
divided_flock,20.49,100.0,8.11,12.38
divided_flock,24.05,100.0,6.51,17.55
divided_flock,23.25,100.0,6.26,16.99
divided_flock,23.52,100.0,6.04,17.48
divided_flock,19.27,100.0,6.91,12.37
divided_flock,19.9,100.0,5.73,14.17
divided_flock,19.56,100.0,5.8,13.77
divided_flock,19.15,100.0,6.13,13.02
divided_flock,18.46,100.0,5.58,12.89
divided_flock,20.65,100.0,5.85,14.79
divided_flock,21.48,100.0,6.27,15.21
divided_flock,19.81,100.0,6.52,13.29
divided_flock,19.19,100.0,6.59,12.6
divided_flock,21.42,100.0,6.1,15.34
divided_flock,20.54,100.0,5.83,14.71
divided_flock,20.55,100.0,7.35,13.21
divided_flock,20.14,100.0,6.72,13.49
divided_flock,20.31,100.0,7.59,12.73
divided_flock,21.75,100.0,5.51,16.24
divided_flock,20.54,100.0,7.3,13.24
divided_flock,19.12,100.0,5.93,13.2
divided_flock,22.28,100.0,7.03,15.25
divided_flock,23.38,100.0,6.45,16.93
divided_flock,20.7,100.0,5.96,14.74
divided_flock,20.28,100.0,5.59,14.7
divided_flock,19.58,100.0,6.43,13.16
divided_flock,23.8,100.0,7.4,16.41
divided_flock,26.75,100.0,7.03,19.72
divided_flock,20.71,100.0,6.09,14.63
divided_flock,20.06,100.0,6.61,13.46
divided_flock,19.77,100.0,5.99,13.79
divided_flock,19.13,100.0,5.5,13.64
divided_flock,26.2,100.0,6.3,19.9
divided_flock,22.46,100.0,6.4,16.06
divided_flock,19.23,100.0,6.26,12.98
divided_flock,19.3,100.0,6.07,13.23
lone_sheep,20.72,100.0,4.64,16.08
lone_sheep,19.29,100.0,4.33,14.96
lone_sheep,19.14,100.0,4.28,14.86
lone_sheep,20.3,100.0,4.62,15.69
lone_sheep,19.8,100.0,4.39,15.42
lone_sheep,18.59,100.0,4.53,14.07
lone_sheep,19.4,100.0,4.2,15.21
lone_sheep,18.77,100.0,4.3,14.47
lone_sheep,19.46,100.0,4.46,15.0
lone_sheep,18.26,100.0,3.5,14.77
lone_sheep,19.19,100.0,4.49,14.7
lone_sheep,18.56,100.0,4.28,14.29
