Testtype,Gjetetid,Suksessrate,Oppsamlingstid,Drivetid
cooperative_flock,17.27,100.0,0.46,16.82
cooperative_flock,15.86,100.0,0.48,15.38
cooperative_flock,15.9,100.0,0.37,15.53
cooperative_flock,16.09,100.0,0.44,15.65
cooperative_flock,15.89,100.0,0.52,15.38
cooperative_flock,15.89,100.0,0.36,15.54
cooperative_flock,15.93,100.0,0.47,15.46
cooperative_flock,15.9,100.0,0.39,15.52
cooperative_flock,15.83,100.0,0.39,15.44
cooperative_flock,15.55,100.0,0.37,15.19
cooperative_flock,15.85,100.0,0.43,15.42
cooperative_flock,15.91,100.0,0.42,15.49
cooperative_flock,15.91,100.0,0.47,15.48
cooperative_flock,16.01,100.0,0.47,15.55
cooperative_flock,15.64,100.0,0.3,15.33
cooperative_flock,15.94,100.0,0.52,15.43
cooperative_flock,15.69,100.0,0.45,15.24
cooperative_flock,15.89,100.0,0.37,15.53
cooperative_flock,15.82,100.0,0.43,15.39
cooperative_flock,15.74,100.0,0.41,15.34
cooperative_flock,16.5,100.0,0.46,16.11
cooperative_flock,15.98,100.0,0.45,15.54
cooperative_flock,15.86,100.0,0.5,15.37
cooperative_flock,15.81,100.0,0.34,15.48
cooperative_flock,15.69,100.0,0.37,15.32
cooperative_flock,16.14,100.0,0.5,15.65
cooperative_flock,15.86,100.0,0.34,15.52
cooperative_flock,15.85,100.0,0.51,15.35
cooperative_flock,15.81,100.0,0.37,15.44
cooperative_flock,15.9,100.0,0.39,15.51
cooperative_flock,15.78,100.0,0.34,15.44
cooperative_flock,15.83,100.0,0.36,15.47
cooperative_flock,15.87,100.0,0.38,15.5
cooperative_flock,15.9,100.0,0.45,15.46
cooperative_flock,15.83,100.0,0.44,15.39
cooperative_flock,15.9,100.0,0.4,15.51
cooperative_flock,15.93,100.0,0.33,15.6
cooperative_flock,15.85,100.0,0.43,15.43
cooperative_flock,15.83,100.0,0.4,15.43
cooperative_flock,15.68,100.0,0.38,15.3
cooperative_flock,17.17,100.0,0.36,16.82
cooperative_flock,15.8,100.0,0.51,15.29
cooperative_flock,15.87,100.0,0.43,15.44
cooperative_flock,15.93,100.0,0.39,15.54
cooperative_flock,15.86,100.0,0.38,15.48
cooperative_flock,15.7,100.0,0.39,15.32
cooperative_flock,16.07,100.0,0.53,15.54
cooperative_flock,15.8,100.0,0.3,15.5
cooperative_flock,15.75,100.0,0.34,15.42
cooperative_flock,15.75,100.0,0.5,15.25
cooperative_flock,15.9,100.0,0.43,15.47
cooperative_flock,15.77,100.0,0.5,15.27
cooperative_flock,15.84,100.0,0.41,15.43
cooperative_flock,15.81,100.0,0.43,15.38
cooperative_flock,15.93,100.0,0.47,15.46
cooperative_flock,15.81,100.0,0.38,15.43
cooperative_flock,15.68,100.0,0.25,15.43
cooperative_flock,15.9,100.0,0.39,15.51
cooperative_flock,15.63,100.0,0.38,15.25
cooperative_flock,15.86,100.0,0.4,15.47
cooperative_flock,16.9,100.0,0.48,16.42
cooperative_flock,15.82,100.0,0.29,15.54
cooperative_flock,15.88,100.0,0.47,15.41
cooperative_flock,15.47,100.0,0.38,15.09
cooperative_flock,15.79,100.0,0.46,15.33
cooperative_flock,15.92,100.0,0.37,15.54
cooperative_flock,15.71,100.0,0.33,15.39
cooperative_flock,15.89,100.0,0.41,15.48
cooperative_flock,15.81,100.0,0.31,15.5
cooperative_flock,15.84,100.0,0.31,15.53
cooperative_flock,15.98,100.0,0.48,15.5
cooperative_flock,16.12,100.0,0.45,15.67
cooperative_flock,15.67,100.0,0.41,15.26
cooperative_flock,15.89,100.0,0.54,15.36
cooperative_flock,15.78,100.0,0.34,15.44
cooperative_flock,15.9,100.0,0.41,15.5
cooperative_flock,15.77,100.0,0.3,15.47
cooperative_flock,15.61,100.0,0.36,15.25
cooperative_flock,15.8,100.0,0.36,15.44
cooperative_flock,15.75,100.0,0.32,15.44
cooperative_flock,17.16,100.0,0.35,16.82
cooperative_flock,15.65,100.0,0.31,15.34
cooperative_flock,15.89,100.0,0.35,15.55
cooperative_flock,15.92,100.0,0.47,15.44
cooperative_flock,15.77,100.0,0.28,15.5
cooperative_flock,15.62,100.0,0.3,15.32
cooperative_flock,15.64,100.0,0.37,15.28
cooperative_flock,15.86,100.0,0.42,15.44
cooperative_flock,16.09,100.0,0.51,15.59
cooperative_flock,15.73,100.0,0.28,15.45
cooperative_flock,15.91,100.0,0.37,15.54
cooperative_flock,15.88,100.0,0.41,15.47
cooperative_flock,15.94,100.0,0.41,15.53
cooperative_flock,15.86,100.0,0.39,15.47
cooperative_flock,15.82,100.0,0.35,15.47
cooperative_flock,15.83,100.0,0.37,15.46
cooperative_flock,15.87,100.0,0.41,15.47
cooperative_flock,15.63,100.0,0.45,15.18
cooperative_flock,15.79,100.0,0.42,15.37
cooperative_flock,16.09,100.0,0.42,15.66
divided_flock,46.63,100.0,24.3,22.33
divided_flock,41.5,100.0,25.03,16.47
divided_flock,33.11,100.0,22.25,10.86
divided_flock,34.79,100.0,19.87,14.92
divided_flock,41.89,100.0,25.9,16.0
divided_flock,31.76,100.0,19.43,12.33
divided_flock,40.12,100.0,22.29,17.82
divided_flock,36.7,100.0,16.95,19.76
divided_flock,35.01,100.0,17.58,17.43
divided_flock,39.05,100.0,17.06,22.0
divided_flock,33.82,100.0,19.63,14.2
divided_flock,29.9,100.0,17.7,12.2
divided_flock,32.05,100.0,17.26,14.79
divided_flock,32.7,100.0,18.0,14.7
divided_flock,39.72,100.0,22.41,17.31
divided_flock,41.66,100.0,24.02,17.64
divided_flock,32.22,100.0,24.56,7.66
divided_flock,30.66,100.0,20.13,10.53
divided_flock,33.07,100.0,20.08,12.99
divided_flock,53.55,100.0,38.22,15.33
divided_flock,27.52,100.0,13.63,13.97
divided_flock,30.57,100.0,20.42,10.15
divided_flock,38.56,100.0,26.48,12.09
divided_flock,28.15,100.0,18.97,9.18
divided_flock,31.85,100.0,16.25,15.61
divided_flock,37.62,100.0,21.89,15.74
divided_flock,35.45,100.0,20.14,15.32
divided_flock,40.23,100.0,27.44,12.8
divided_flock,38.09,100.0,19.44,18.66
divided_flock,36.6,100.0,20.25,16.36
divided_flock,36.25,100.0,18.5,17.75
divided_flock,38.41,100.0,20.88,17.53
divided_flock,38.82,100.0,17.9,20.92
divided_flock,26.88,100.0,14.81,12.08
divided_flock,35.7,100.0,21.2,14.5
divided_flock,45.44,100.0,19.81,25.63
divided_flock,33.94,100.0,17.82,16.12
divided_flock,34.22,100.0,18.08,16.14
divided_flock,32.91,100.0,17.63,15.29
divided_flock,33.03,100.0,19.2,13.84
divided_flock,43.94,100.0,28.56,15.46
divided_flock,24.57,100.0,13.01,11.56
divided_flock,46.38,100.0,22.88,23.5
divided_flock,37.82,100.0,23.07,14.76
divided_flock,36.38,100.0,24.38,12.01
divided_flock,31.51,100.0,22.06,9.46
divided_flock,33.34,100.0,18.19,15.15
divided_flock,36.38,100.0,21.87,14.51
divided_flock,38.55,100.0,20.79,17.76
divided_flock,39.84,100.0,23.01,16.83
divided_flock,32.1,100.0,16.79,15.31
divided_flock,38.74,100.0,24.05,14.69
divided_flock,47.15,100.0,29.69,17.46
divided_flock,27.13,100.0,16.47,10.66
divided_flock,41.96,100.0,27.4,14.56
divided_flock,35.12,100.0,22.23,12.88
divided_flock,51.98,100.0,42.86,9.13
divided_flock,34.64,100.0,18.79,15.85
divided_flock,32.94,100.0,18.16,14.78
divided_flock,44.78,100.0,26.02,18.77
divided_flock,32.2,100.0,18.7,13.57
divided_flock,49.92,100.0,34.46,15.47
divided_flock,44.5,100.0,23.92,20.59
divided_flock,40.14,100.0,24.77,15.38
divided_flock,33.52,100.0,22.56,10.96
divided_flock,49.29,100.0,16.49,32.81
divided_flock,33.07,100.0,18.84,14.23
divided_flock,38.31,100.0,19.42,18.89
divided_flock,34.82,100.0,19.8,15.02
divided_flock,30.22,100.0,19.36,10.86
divided_flock,26.92,100.0,13.47,13.45
divided_flock,29.9,100.0,12.34,17.56
divided_flock,33.14,100.0,17.99,15.15
divided_flock,33.88,100.0,20.47,13.41
divided_flock,30.6,100.0,15.86,14.74
divided_flock,41.01,100.0,18.85,22.16
divided_flock,39.46,100.0,21.78,17.68
divided_flock,42.43,100.0,25.9,16.54
divided_flock,41.66,100.0,32.41,9.26
divided_flock,38.35,100.0,20.9,17.46
divided_flock,42.55,100.0,25.8,16.75
divided_flock,39.71,100.0,20.68,19.04
divided_flock,21.45,100.0,8.95,12.51
divided_flock,31.34,100.0,18.85,12.49
divided_flock,32.32,100.0,19.54,12.79
divided_flock,31.88,100.0,16.72,15.16
divided_flock,28.81,100.0,18.36,10.45
divided_flock,41.2,100.0,19.04,22.17
divided_flock,31.47,100.0,19.29,12.19
divided_flock,35.55,100.0,20.25,15.3
divided_flock,34.29,100.0,17.63,16.67
divided_flock,38.0,100.0,17.95,20.05
divided_flock,34.96,100.0,25.22,9.74
divided_flock,39.21,100.0,24.2,15.02
divided_flock,47.86,100.0,30.15,17.71
divided_flock,34.93,100.0,21.59,13.34
divided_flock,37.6,100.0,18.34,19.26
divided_flock,34.39,100.0,17.37,17.02
divided_flock,44.31,100.0,25.78,18.53
divided_flock,35.99,100.0,18.84,17.15
lone_sheep,32.28,100.0,15.0,17.36
lone_sheep,43.44,100.0,23.78,19.66
lone_sheep,51.87,100.0,14.18,37.7
lone_sheep,30.62,100.0,11.03,19.59
lone_sheep,46.26,100.0,20.65,25.6
lone_sheep,44.66,100.0,13.88,30.8
lone_sheep,26.23,100.0,7.37,18.87
lone_sheep,36.61,100.0,18.81,17.8
lone_sheep,33.02,100.0,11.26,21.77
lone_sheep,39.23,100.0,14.78,24.46
lone_sheep,40.96,100.0,10.18,30.79
lone_sheep,43.27,100.0,17.8,25.47
