Testtype,Dronetype,Synsrekkevidde,P-verdi
Kooperativ flokk,Polygon,20,0.0
Kooperativ flokk,Polygon,30,0.0
Kooperativ flokk,Polygon,40,0.0
Kooperativ flokk,Sirkel,20,0.0
Kooperativ flokk,Sirkel,30,0.0
Kooperativ flokk,Sirkel,40,0.0
Kooperativ flokk,V,20,0.3688
Kooperativ flokk,V,30,0.0
Kooperativ flokk,V,40,0.0
Delt flokk,Polygon,20,0.0
Delt flokk,Polygon,30,0.0
Delt flokk,Polygon,40,0.0
Enslig sau,Polygon,20,0.0
Enslig sau,Polygon,30,0.0
Enslig sau,Polygon,40,0.0
Nytt mål,Polygon,20,0.1513
Nytt mål,Polygon,30,0.0
Nytt mål,Polygon,40,0.0
Nytt mål,Sirkel,20,0.0
Nytt mål,Sirkel,30,0.0
Nytt mål,Sirkel,40,0.0
Nytt mål,V,20,0.4673
Nytt mål,V,30,0.0
Nytt mål,V,40,0.0
