Testtype,Gjetetid,Suksessrate,Oppsamlingstid,Drivetid
cooperative_flock,151.38,100.0,11.16,140.22
cooperative_flock,156.6,100.0,13.32,143.28
cooperative_flock,152.46,100.0,11.16,141.3
cooperative_flock,153.09,100.0,10.89,142.20000000000002
cooperative_flock,153.36,100.0,11.34,142.02
cooperative_flock,152.82,100.0,13.59,139.23000000000002
cooperative_flock,154.17000000000002,100.0,14.31,139.86
cooperative_flock,152.37,100.0,10.98,141.39000000000001
cooperative_flock,153.81,100.0,14.67,139.14000000000001
cooperative_flock,157.41,100.0,14.13,143.28
cooperative_flock,157.77,100.0,13.68,144.09
cooperative_flock,153.99,100.0,11.07,142.92000000000002
cooperative_flock,157.5,100.0,14.13,143.37
cooperative_flock,154.98000000000002,100.0,11.790000000000001,143.19
cooperative_flock,155.61,100.0,12.870000000000001,142.74
cooperative_flock,156.69,100.0,11.16,145.62
cooperative_flock,159.12,100.0,13.68,145.44
cooperative_flock,154.71,100.0,12.870000000000001,141.84
cooperative_flock,155.97,100.0,12.870000000000001,143.1
cooperative_flock,155.43,100.0,13.68,141.75
cooperative_flock,155.61,100.0,11.790000000000001,143.82
cooperative_flock,152.28,100.0,11.610000000000001,140.67000000000002
cooperative_flock,158.76000000000002,100.0,13.23,145.53
cooperative_flock,151.65,100.0,11.52,140.13
cooperative_flock,154.71,100.0,11.52,143.19
cooperative_flock,154.71,100.0,13.41,141.3
cooperative_flock,157.23000000000002,100.0,12.33,144.9
cooperative_flock,148.32,100.0,11.07,137.25
cooperative_flock,154.17000000000002,100.0,13.5,140.67000000000002
cooperative_flock,155.25,100.0,12.780000000000001,142.47
cooperative_flock,153.63,100.0,11.07,142.56
cooperative_flock,154.44,100.0,11.07,143.37
cooperative_flock,155.25,100.0,14.58,140.67000000000002
cooperative_flock,155.61,100.0,11.52,144.09
cooperative_flock,152.82,100.0,9.540000000000001,143.28
cooperative_flock,157.95000000000002,100.0,13.59,144.36
cooperative_flock,152.82,100.0,12.780000000000001,140.04
cooperative_flock,154.71,100.0,13.32,141.39000000000001
cooperative_flock,153.0,100.0,12.51,140.49
cooperative_flock,154.26000000000002,100.0,12.6,141.66
cooperative_flock,155.88,100.0,13.860000000000001,142.02
cooperative_flock,150.66,100.0,11.43,139.23000000000002
cooperative_flock,153.45000000000002,100.0,10.17,143.28
cooperative_flock,158.85,100.0,11.97,146.88
cooperative_flock,155.16,100.0,12.780000000000001,142.38
cooperative_flock,154.98000000000002,100.0,11.88,143.1
cooperative_flock,155.34,100.0,13.41,141.93
cooperative_flock,154.53,100.0,10.620000000000001,143.91
cooperative_flock,156.6,100.0,13.05,143.55
cooperative_flock,155.52,100.0,11.43,144.09
cooperative_flock,151.65,100.0,10.89,140.76
cooperative_flock,155.43,100.0,13.23,142.20000000000002
cooperative_flock,158.31,100.0,17.28,141.03
cooperative_flock,158.58,100.0,14.49,144.09
cooperative_flock,156.87,100.0,14.040000000000001,142.83
cooperative_flock,156.87,100.0,12.06,144.81
cooperative_flock,155.43,100.0,13.68,141.75
cooperative_flock,154.17000000000002,100.0,11.07,143.1
cooperative_flock,155.16,100.0,13.05,142.11
cooperative_flock,155.61,100.0,11.88,143.73000000000002
cooperative_flock,153.9,100.0,11.07,142.83
cooperative_flock,156.24,100.0,11.34,144.9
cooperative_flock,158.4,100.0,13.41,144.99
cooperative_flock,156.24,100.0,12.24,144.0
cooperative_flock,152.37,100.0,12.24,140.13
cooperative_flock,155.43,100.0,12.24,143.19
cooperative_flock,156.69,100.0,13.14,143.55
cooperative_flock,154.35,100.0,11.88,142.47
cooperative_flock,153.54,100.0,11.610000000000001,141.93
cooperative_flock,154.71,100.0,11.610000000000001,143.1
cooperative_flock,153.54,100.0,11.34,142.20000000000002
cooperative_flock,154.08,100.0,11.34,142.74
cooperative_flock,156.51000000000002,100.0,12.96,143.55
cooperative_flock,155.16,100.0,13.05,142.11
cooperative_flock,150.3,100.0,11.43,138.87
cooperative_flock,156.51000000000002,100.0,13.32,143.19
cooperative_flock,153.45000000000002,100.0,12.780000000000001,140.67000000000002
cooperative_flock,156.69,100.0,13.05,143.64000000000001
cooperative_flock,156.78,100.0,12.780000000000001,144.0
cooperative_flock,155.97,100.0,12.690000000000001,143.28
