Testtype,Gjetetid,Suksessrate,Oppsamlingstid,Drivetid
cooperative_flock,206.82,100.0,11.61,195.21
cooperative_flock,461.79,100.0,51.21,410.58
cooperative_flock,417.78,100.0,10.8,406.98
cooperative_flock,189.0,100.0,13.86,175.14
cooperative_flock,252.54,100.0,13.5,239.04
cooperative_flock,860.31,100.0,234.27,626.04
cooperative_flock,225.72,100.0,11.97,213.75
cooperative_flock,4045.23,100.0,724.86,3320.37
cooperative_flock,259.47,100.0,13.5,245.97
cooperative_flock,766.98,100.0,112.32,654.66
cooperative_flock,166.68,100.0,12.42,154.26
cooperative_flock,1942.11,100.0,173.52,1768.59
cooperative_flock,224.01,100.0,15.93,208.08
cooperative_flock,185.58,100.0,11.79,173.79
cooperative_flock,306.18,100.0,11.34,294.84
cooperative_flock,539.19,100.0,70.56,468.63
cooperative_flock,180.99,100.0,11.07,169.92
cooperative_flock,210.69,100.0,12.33,198.36
cooperative_flock,211.86,100.0,12.33,199.53
cooperative_flock,531.45,100.0,67.23,464.22
cooperative_flock,165.42,100.0,11.7,153.72
cooperative_flock,248.22,100.0,11.97,236.25
cooperative_flock,881.82,100.0,48.42,833.4
cooperative_flock,583.83,100.0,45.99,537.84
cooperative_flock,205.11,100.0,11.79,193.32
cooperative_flock,994.41,100.0,241.11,753.3
cooperative_flock,271.35,100.0,12.33,259.02
cooperative_flock,246.33,100.0,11.52,234.81
cooperative_flock,245.7,100.0,13.05,232.65
cooperative_flock,202.86,100.0,11.97,190.89
cooperative_flock,195.57,100.0,11.61,183.96
cooperative_flock,173.52,100.0,13.41,160.11
cooperative_flock,4500.63,0.0,1074.06,3426.57
cooperative_flock,235.44,100.0,12.15,223.29
cooperative_flock,208.17,100.0,11.52,196.65
cooperative_flock,178.29,100.0,12.6,165.69
cooperative_flock,178.2,100.0,12.06,166.14
cooperative_flock,322.2,100.0,32.85,289.35
cooperative_flock,176.31,100.0,11.88,164.43
cooperative_flock,186.66,100.0,11.97,174.69
cooperative_flock,815.22,100.0,225.18,590.04
cooperative_flock,1487.25,100.0,122.04,1365.21
cooperative_flock,1214.46,100.0,260.1,954.36
cooperative_flock,251.1,100.0,13.23,237.87
cooperative_flock,350.73,100.0,62.46,288.27
cooperative_flock,853.74,100.0,257.58,596.16
cooperative_flock,197.28,100.0,11.97,185.31
cooperative_flock,288.72,100.0,10.53,278.19
cooperative_flock,191.25,100.0,11.7,179.55
cooperative_flock,185.85,100.0,10.26,175.59
cooperative_flock,193.5,100.0,12.42,181.08
cooperative_flock,432.0,100.0,16.56,415.44
cooperative_flock,830.43,100.0,141.3,689.13
cooperative_flock,153.18,100.0,11.16,142.02
cooperative_flock,204.57,100.0,11.52,193.05
cooperative_flock,273.24,100.0,13.86,259.38
cooperative_flock,269.28,100.0,16.38,252.9
cooperative_flock,199.08,100.0,12.15,186.93
cooperative_flock,204.93,100.0,12.06,192.87
cooperative_flock,200.61,100.0,11.97,188.64
cooperative_flock,281.16,100.0,11.43,269.73
cooperative_flock,214.2,100.0,11.61,202.59
cooperative_flock,192.69,100.0,12.33,180.36
cooperative_flock,203.22,100.0,11.25,191.97
cooperative_flock,753.12,100.0,128.79,624.33
cooperative_flock,262.8,100.0,12.42,250.38
cooperative_flock,194.4,100.0,11.25,183.15
cooperative_flock,198.45,100.0,10.98,187.47
cooperative_flock,258.66,100.0,11.34,247.32
cooperative_flock,200.07,100.0,11.88,188.19
cooperative_flock,231.03,100.0,13.86,217.17
cooperative_flock,514.44,100.0,16.38,498.06
cooperative_flock,194.49,100.0,11.79,182.7
cooperative_flock,187.83,100.0,11.52,176.31
cooperative_flock,422.73,100.0,55.89,366.84
cooperative_flock,291.15,100.0,11.52,279.63
cooperative_flock,397.35,100.0,53.46,343.89
cooperative_flock,184.23,100.0,12.69,171.54
cooperative_flock,198.9,100.0,13.5,185.4
cooperative_flock,218.79,100.0,11.88,206.91
cooperative_flock,1183.77,100.0,305.37,878.4
cooperative_flock,596.07,100.0,142.56,453.51
cooperative_flock,208.62,100.0,14.13,194.49
cooperative_flock,1602.99,100.0,123.3,1479.69
cooperative_flock,458.28,100.0,90.99,367.29
cooperative_flock,184.59,100.0,13.5,171.09
cooperative_flock,176.67,100.0,14.31,162.36
cooperative_flock,207.54,100.0,12.06,195.48
cooperative_flock,198.63,100.0,22.68,175.95
cooperative_flock,553.23,100.0,104.49,448.74
cooperative_flock,180.63,100.0,11.7,168.93
cooperative_flock,193.14,100.0,11.79,181.35
cooperative_flock,163.8,100.0,13.05,150.75
cooperative_flock,207.72,100.0,10.98,196.74
cooperative_flock,317.52,100.0,33.3,284.22
cooperative_flock,216.18,100.0,11.52,204.66
cooperative_flock,209.7,100.0,11.52,198.18
cooperative_flock,199.35,100.0,12.42,186.93
cooperative_flock,206.73,100.0,13.86,192.87
cooperative_flock,328.68,100.0,19.98,308.7
lone_sheep,579.87,100.0,193.68,386.19
lone_sheep,460.71,100.0,201.24,259.47
lone_sheep,648.72,100.0,233.55,415.17
lone_sheep,341.91,100.0,66.87,275.04
lone_sheep,222.75,100.0,68.49,154.26
lone_sheep,1804.14,100.0,610.83,1193.31
lone_sheep,366.66,100.0,191.61,175.05
lone_sheep,269.1,100.0,94.68,174.42
lone_sheep,1164.96,100.0,349.38,815.58
lone_sheep,773.82,100.0,333.99,439.83
lone_sheep,583.2,100.0,172.62,410.58
lone_sheep,431.82,100.0,64.62,367.2
lone_sheep,791.73,100.0,376.65,415.08
lone_sheep,360.54,100.0,68.31,292.23
lone_sheep,425.25,100.0,135.18,290.07
lone_sheep,311.49,100.0,88.29,223.2
lone_sheep,311.94,100.0,78.57,233.37
lone_sheep,236.97,100.0,57.96,179.01
lone_sheep,228.24,100.0,65.34,162.9
lone_sheep,954.63,100.0,554.85,399.78
lone_sheep,276.3,100.0,86.4,189.9
lone_sheep,447.03,100.0,179.64,267.39
lone_sheep,1249.02,100.0,208.44,1040.58
lone_sheep,212.13,100.0,80.28,131.85
lone_sheep,214.92,100.0,144.0,70.92
lone_sheep,722.25,100.0,283.68,438.57
lone_sheep,1393.2,100.0,230.22,1162.98
lone_sheep,600.21,100.0,97.92,502.29
lone_sheep,435.69,100.0,116.37,319.32
lone_sheep,643.41,100.0,258.12,385.29
lone_sheep,1435.77,100.0,434.16,1001.61
lone_sheep,327.96,100.0,60.75,267.21
lone_sheep,347.04,100.0,140.58,206.46
lone_sheep,784.89,100.0,128.79,656.1
lone_sheep,322.38,100.0,65.88,256.5
lone_sheep,476.91,100.0,94.5,382.41
lone_sheep,218.97,100.0,103.32,115.65
lone_sheep,306.63,100.0,170.37,136.26
lone_sheep,389.07,100.0,102.96,286.11
lone_sheep,375.39,100.0,133.65,241.74
lone_sheep,324.0,100.0,98.01,225.99
lone_sheep,698.13,100.0,292.68,405.45
lone_sheep,432.18,100.0,186.66,245.52
lone_sheep,567.81,100.0,172.08,395.73
lone_sheep,628.02,100.0,184.59,443.43
lone_sheep,367.29,100.0,117.9,249.39
lone_sheep,1301.76,100.0,285.39,1016.37
lone_sheep,1573.65,100.0,577.98,995.67
lone_sheep,1054.08,100.0,322.92,731.16
lone_sheep,1644.3,100.0,414.09,1230.21
lone_sheep,394.56,100.0,223.65,170.91
lone_sheep,626.4,100.0,156.96,469.44
lone_sheep,555.75,100.0,171.36,384.39
lone_sheep,982.8,100.0,153.09,829.71
lone_sheep,341.82,100.0,122.58,219.24
lone_sheep,476.28,100.0,59.13,417.15
lone_sheep,643.5,100.0,318.78,324.72
lone_sheep,341.19,100.0,177.48,163.71
lone_sheep,996.66,100.0,109.08,887.58
lone_sheep,821.16,100.0,323.91,497.25
lone_sheep,733.23,100.0,149.58,583.65
lone_sheep,455.94,100.0,179.82,276.12
lone_sheep,885.15,100.0,142.83,742.32
lone_sheep,396.45,100.0,96.12,300.33
lone_sheep,871.83,100.0,404.82,467.01
lone_sheep,1439.55,100.0,330.84,1108.71
lone_sheep,457.38,100.0,146.79,310.59
lone_sheep,853.65,100.0,341.91,511.74
lone_sheep,1428.57,100.0,295.47,1133.1
lone_sheep,952.65,100.0,257.13,695.52
lone_sheep,497.61,100.0,80.73,416.88
lone_sheep,301.86,100.0,105.84,196.02
lone_sheep,249.39,100.0,106.56,142.83
lone_sheep,692.91,100.0,125.73,567.18
lone_sheep,507.78,100.0,143.1,364.68
lone_sheep,739.08,100.0,262.71,476.37
lone_sheep,327.78,100.0,145.71,182.07
lone_sheep,381.24,100.0,130.41,250.83
lone_sheep,4500.81,0.0,695.34,3805.47
lone_sheep,886.41,100.0,149.85,736.56
lone_sheep,202.14,100.0,96.57,105.57
lone_sheep,947.88,100.0,228.78,719.1
lone_sheep,2496.33,100.0,792.0,1704.33
lone_sheep,279.45,100.0,82.35,197.1
lone_sheep,1761.66,100.0,425.52,1336.14
lone_sheep,322.47,100.0,117.63,204.84
lone_sheep,482.85,100.0,137.97,344.88
lone_sheep,831.51,100.0,308.52,522.99
lone_sheep,253.08,100.0,72.72,180.36
lone_sheep,405.27,100.0,206.73,198.54
lone_sheep,605.16,100.0,312.3,292.86
lone_sheep,487.17,100.0,212.76,274.41
lone_sheep,1039.59,100.0,345.6,693.99
lone_sheep,4501.35,0.0,657.36,3843.99
lone_sheep,403.74,100.0,121.05,282.69
lone_sheep,1458.09,100.0,435.6,1022.49
lone_sheep,823.95,100.0,321.21,502.74
lone_sheep,815.22,100.0,588.42,226.8
lone_sheep,686.43,100.0,99.45,586.98
lone_sheep,408.69,100.0,129.69,279.0
divided_flock,773.64,100.0,361.44,412.2
divided_flock,681.21,100.0,239.49,441.72
divided_flock,586.62,100.0,338.76,247.86
divided_flock,896.85,100.0,294.12,602.73
divided_flock,413.73,100.0,160.65,253.08
divided_flock,331.47,100.0,119.07,212.4
divided_flock,1118.88,100.0,553.14,565.74
divided_flock,446.49,100.0,278.01,168.48
divided_flock,335.07,100.0,141.03,194.04
divided_flock,413.01,100.0,169.74,243.27
divided_flock,533.52,100.0,266.13,267.39
divided_flock,469.35,100.0,228.15,241.2
divided_flock,449.82,100.0,276.3,173.52
divided_flock,993.06,100.0,261.9,731.16
divided_flock,482.13,100.0,274.68,207.45
divided_flock,270.45,100.0,169.2,101.25
divided_flock,369.18,100.0,215.91,153.27
divided_flock,883.17,100.0,419.85,463.32
divided_flock,274.77,100.0,185.76,89.01
divided_flock,399.42,100.0,201.87,197.55
divided_flock,621.63,100.0,346.41,275.22
divided_flock,678.69,100.0,528.66,150.03
divided_flock,462.69,100.0,354.6,108.09
divided_flock,512.82,100.0,246.96,265.86
divided_flock,757.8,100.0,216.45,541.35
divided_flock,424.17,100.0,179.82,244.35
divided_flock,389.34,100.0,253.53,135.81
divided_flock,990.36,100.0,252.0,738.36
divided_flock,419.85,100.0,191.43,228.42
divided_flock,579.78,100.0,283.86,295.92
divided_flock,1107.0,100.0,305.82,801.18
divided_flock,1284.75,100.0,506.61,778.14
divided_flock,409.77,100.0,288.0,121.77
divided_flock,558.18,100.0,193.41,364.77
divided_flock,958.32,100.0,486.36,471.96
divided_flock,277.65,100.0,137.88,139.77
divided_flock,438.66,100.0,221.22,217.44
divided_flock,682.92,100.0,287.46,395.46
divided_flock,914.4,100.0,183.51,730.89
divided_flock,713.79,100.0,451.8,261.99
divided_flock,389.79,100.0,112.86,276.93
divided_flock,614.07,100.0,350.19,263.88
divided_flock,951.39,100.0,296.37,655.02
divided_flock,3522.51,100.0,899.64,2622.87
divided_flock,863.1,100.0,416.34,446.76
divided_flock,1159.65,100.0,330.66,828.99
divided_flock,385.11,100.0,262.35,122.76
divided_flock,1249.65,100.0,476.19,773.46
divided_flock,959.13,100.0,407.88,551.25
divided_flock,448.65,100.0,255.06,193.59
divided_flock,447.84,100.0,262.44,185.4
divided_flock,1213.74,100.0,578.43,635.31
divided_flock,898.2,100.0,404.37,493.83
divided_flock,443.97,100.0,168.3,275.67
divided_flock,533.43,100.0,257.49,275.94
divided_flock,1169.28,100.0,568.53,600.75
divided_flock,384.21,100.0,201.6,182.61
divided_flock,616.59,100.0,384.48,232.11
divided_flock,537.66,100.0,139.77,397.89
divided_flock,521.91,100.0,289.71,232.2
divided_flock,950.85,100.0,374.04,576.81
divided_flock,508.41,100.0,239.49,268.92
divided_flock,549.81,100.0,210.51,339.3
divided_flock,1380.51,100.0,619.11,761.4
divided_flock,977.67,100.0,328.14,649.53
divided_flock,602.37,100.0,255.87,346.5
divided_flock,403.38,100.0,294.3,109.08
divided_flock,1734.12,100.0,840.78,893.34
divided_flock,704.25,100.0,258.3,445.95
divided_flock,873.63,100.0,466.29,407.34
divided_flock,280.44,100.0,162.72,117.72
divided_flock,437.67,100.0,252.0,185.67
divided_flock,325.71,100.0,158.31,167.4
divided_flock,338.67,100.0,175.95,162.72
divided_flock,395.91,100.0,129.69,266.22
divided_flock,645.66,100.0,251.73,393.93
divided_flock,378.54,100.0,261.27,117.27
divided_flock,1014.21,100.0,483.03,531.18
divided_flock,1265.13,100.0,557.55,707.58
divided_flock,737.28,100.0,382.23,355.05
divided_flock,1300.14,100.0,326.25,973.89
divided_flock,455.85,100.0,209.16,246.69
divided_flock,733.95,100.0,263.7,470.25
divided_flock,872.82,100.0,337.59,535.23
divided_flock,480.96,100.0,159.93,321.03
divided_flock,361.98,100.0,107.19,254.79
divided_flock,635.49,100.0,437.85,197.64
divided_flock,1015.74,100.0,498.33,517.41
divided_flock,916.2,100.0,576.27,339.93
divided_flock,880.83,100.0,523.71,357.12
divided_flock,446.04,100.0,148.86,297.18
divided_flock,430.65,100.0,234.09,196.56
divided_flock,710.19,100.0,520.83,189.36
divided_flock,556.65,100.0,300.78,255.87
divided_flock,1597.59,100.0,765.63,831.96
divided_flock,1211.04,100.0,409.14,801.9
divided_flock,603.45,100.0,314.19,289.26
divided_flock,522.27,100.0,219.42,302.85
divided_flock,1019.07,100.0,544.41,474.66
divided_flock,789.12,100.0,241.92,547.2
right_angle,394.47,100.0,46.44,348.03
right_angle,596.88,100.0,117.72,479.16
right_angle,168.66,100.0,13.41,155.25
right_angle,994.14,100.0,159.21,834.93
right_angle,1828.89,100.0,320.58,1508.31
right_angle,1044.0,100.0,551.88,492.12
right_angle,911.61,100.0,94.5,817.11
right_angle,501.84,100.0,13.59,488.25
right_angle,479.34,100.0,18.81,460.53
right_angle,349.11,100.0,14.22,334.89
right_angle,218.88,100.0,10.89,207.99
right_angle,243.72,100.0,11.88,231.84
right_angle,465.21,100.0,157.5,307.71
right_angle,349.92,100.0,11.07,338.85
right_angle,190.71,100.0,17.1,173.61
right_angle,189.45,100.0,11.7,177.75
right_angle,170.1,100.0,13.59,156.51
right_angle,177.84,100.0,12.42,165.42
right_angle,206.01,100.0,11.7,194.31
right_angle,1107.9,100.0,463.95,643.95
right_angle,205.11,100.0,13.86,191.25
right_angle,205.02,100.0,12.24,192.78
right_angle,4500.72,0.0,905.67,3595.05
right_angle,1572.66,100.0,248.76,1323.9
right_angle,214.29,100.0,13.41,200.88
